"Term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",30754.2616590157,1582.54501240812,11.967078955217,19.4334198508626,0.000000000203528504380664
"block_labelPAIRING",-6317.76834937956,1125.7345797869,24.0000000047445,-5.61212959326122,0.00000890725501057828
"block_labelTEST",-3258.23004050355,1125.7345797869,24.0000000038879,-2.89431460932853,0.00796588161521925
"block_labelADDITIONAL TEST",287.275620543655,1125.7345797869,24.0000000044227,0.255189478676257,0.800750948466166
