HighResSampleIndex,ApproxTime_s,PRE_Mean,PRE_SEM,TEST_Mean,TEST_SEM
1,-2.4,-0.295078820532348,0.0330846081453957,-0.297222053855415,0.0293331771428494
2,-2.2,-0.267682610144798,0.0319054252797277,-0.303278464868222,0.0282845820916665
3,-2,-0.245912818011878,0.0328316480461859,-0.30522470393559,0.0286049865740393
4,-1.8,-0.237376757461099,0.0333955242995298,-0.306791279573603,0.0290920849152804
5,-1.6,-0.241473556443192,0.0343561522688941,-0.308195625889357,0.0294564536709674
6,-1.4,-0.265982275809119,0.0349307838225611,-0.306051952995755,0.0273064981112669
7,-1.2,-0.289242677305393,0.0355799060894899,-0.297087309422763,0.0261881945567939
8,-1,-0.308481293797213,0.0359370611971524,-0.294363046938455,0.0263134460303542
9,-0.8,-0.317403756479224,0.035261491994504,-0.291700003710482,0.0272134495426335
10,-0.6,-0.318680318531441,0.0346262662137254,-0.283209697129684,0.0285490254959995
11,-0.4,-0.310064860486141,0.0327977102604199,-0.279969419223954,0.029243609333432
12,-0.2,-0.276851258071239,0.033154635419135,-0.276022709233336,0.029289596390899
13,0,-0.234399826509354,0.0332062690686407,-0.258084110117091,0.0279863859776293
14,0.2,-0.185753274496118,0.0366078123636953,-0.227771962359933,0.025614077828394
15,0.4,-0.128443406624857,0.0396676006665196,-0.174923145588863,0.0250276253619069
16,0.6,-0.055881000132466,0.0429743943771729,-0.11138547550082,0.0271297373242947
17,0.8,0.0350276650571733,0.0477302187884758,-0.0184105981278462,0.0319774349643675
18,1,0.125320322079243,0.0550786276476057,0.0878943489988126,0.0388769016108631
19,1.2,0.220098874813357,0.0606254433705188,0.194319515687634,0.0451295940973282
20,1.4,0.3166671426072,0.0641624089353922,0.302853344746122,0.0503346254794882
21,1.6,0.414682699308766,0.0653853230736807,0.396922192048013,0.0534414825249747
22,1.8,0.500503212619504,0.0659869607950137,0.481778035195566,0.0541714277781724
23,2,0.565744935699954,0.0653114426387938,0.539705988994041,0.0562300341993471
24,2.2,0.618112026510923,0.0639953371223589,0.582724460283184,0.0563413812593274
25,2.4,0.655189222989437,0.0624396006759802,0.611376063253369,0.0562978483182982
26,2.6,0.674712575037474,0.0612708393943113,0.6239850376141,0.0535905804612894
27,2.8,0.671528261541907,0.059869245517232,0.624069039515806,0.0494393434313104
28,3,0.657125021392656,0.0576863897759233,0.612444488840417,0.0460067593213755
29,3.2,0.630915619512253,0.0550993475579156,0.599190364248432,0.0402873052265566
30,3.4,0.595325047665577,0.0515050018423058,0.570388164624945,0.0367652632064474
31,3.6,0.547136716248789,0.0450726814957506,0.531383455052366,0.0335054575697043
32,3.8,0.487392550134191,0.037940979746782,0.479047739578254,0.0310816910608074
33,4,0.422071045713376,0.0310339138195287,0.420291542167931,0.0300823526797341
34,4.2,0.352546087257957,0.02518959848583,0.355623918619138,0.0300465662023466
35,4.4,0.281952015914667,0.0225397079854915,0.278353509996381,0.0313008798653679
36,4.6,0.2198422727637,0.0231461001006613,0.20845515240794,0.0311825497941152
37,4.8,0.163323900948183,0.0246841459761015,0.144837090241755,0.029950945055721
38,5,0.119137427814389,0.0274226550010664,0.100239800111054,0.0279115604530261
39,5.2,0.0801583858743647,0.0286842456889268,0.0642962010465845,0.0249793845237175
40,5.4,0.0528387238750275,0.0291297183287801,0.0360716134833122,0.0223590961353412
41,5.6,0.0359439126863063,0.0311006144758985,0.0264140006516674,0.023322025229021
42,5.8,0.0155021423179022,0.0325083181853825,0.017878653238115,0.025633724045142
43,6,0.00423150923937097,0.0303928295629572,0.0091764036328301,0.0266047456436949
44,6.2,-0.00728087180053914,0.0300464979127342,-0.00382280578134943,0.0285481844149049
45,6.4,-0.0110174675931759,0.0299727191298348,-0.0183980345235027,0.0286408259113094
46,6.6,-0.0208782615350794,0.0300163347693537,-0.0265905304422558,0.0280398024827365
47,6.8,-0.0338925619470776,0.0307335165317287,-0.0434173332023582,0.0249564482701813
48,7,-0.0499446158772083,0.0314860264721371,-0.0583279872141698,0.0244882013638943
49,7.2,-0.0702198855018572,0.0317802423069482,-0.0702271138275945,0.0245318421143046
50,7.4,-0.0879161956080741,0.0316873585921186,-0.0862077857939891,0.0241294616605682
51,7.6,-0.102493390898875,0.0318326726239843,-0.103146439860829,0.0236681652774888
52,7.8,-0.114914952909506,0.0309863178917795,-0.126117072531661,0.0201792958815414
53,8,-0.123900443672558,0.0292181892728143,-0.142505657453744,0.0194567452892461
54,8.2,-0.128150421036701,0.0296728962558707,-0.158233353088766,0.0201992233737122
55,8.4,-0.134741592474076,0.0299479870544448,-0.177247728739061,0.0239743569083575
56,8.6,-0.146340754245471,0.0292486858627289,-0.189921963425686,0.0280557139172722
57,8.8,-0.170944679171538,0.0292139640257687,-0.194859807377175,0.0317587591161939
58,9,-0.194718273555695,0.0295324082154139,-0.200702527750134,0.033731627498962
59,9.2,-0.223744946321855,0.0308544850324462,-0.209262128623251,0.0320649830507312
60,9.4,-0.252545156797012,0.0312629274813939,-0.214963342617584,0.031489301814084
