SubjectIndex,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60
1,-0.230695232875503,-0.244191251998047,-0.247028465779014,-0.271311281991152,-0.303451961160807,-0.306296391969588,-0.300502977222677,-0.291748588996926,-0.264178461514648,-0.21746479462509,-0.170456557807018,-0.181087765559263,-0.191283687139269,-0.197860763085768,-0.231097793288079,-0.266085569813658,-0.279168596155295,-0.226344843949111,-0.166322984473855,-0.0739560753157273,0.0429147819323351,0.161809196731096,0.278932896538607,0.361353863482066,0.449819923324449,0.505721624951046,0.551462925227901,0.585258326012519,0.598721111152389,0.620895475067767,0.610867472939521,0.586872793348873,0.54541658040117,0.519077769716024,0.47364692794281,0.417220817399758,0.359800804136649,0.296624268596068,0.260711787931801,0.201351285199512,0.173330238239905,0.147751469712955,0.155369915897638,0.170881366003342,0.15649493861167,0.156341576017233,0.122784552172694,0.0637495015186924,-0.0313326488935257,-0.12436997713314,-0.200648974219876,-0.276810614739624,-0.315326459123792,-0.318076295125943,-0.301464024316391,-0.295202469115723,-0.294634748706415,-0.287590621663309,-0.271154218965034,-0.267508948754309
2,0.0341772712592312,0.0913816328475604,0.152262980690045,0.191551406807701,0.156519033477008,0.085842844803528,-0.0107638411425368,-0.0974809607810556,-0.220203585902568,-0.334505053849195,-0.357165264252055,-0.343935571744957,-0.293071052887352,-0.253496665162555,-0.101175181741082,0.064527030102171,0.185745210488806,0.289510640351364,0.384340930576226,0.466381164797838,0.446897796583371,0.417625936418877,0.378253176516774,0.351178545620975,0.30914477913723,0.279615119673349,0.275185631688276,0.268727198366768,0.283558866560032,0.265029285671558,0.251742168443135,0.230529042664097,0.171742019905224,0.114691456860286,0.0330749180694154,-0.0251031920172314,-0.0737083294396122,-0.111015387733771,-0.0993944876224672,-0.0840788278107016,-0.0536768806849352,-0.0384599687527751,-0.0346060137270489,-0.0348322069944093,-0.0508415601035099,-0.0639268053128735,-0.0697615423065592,-0.075698959086377,-0.088139315671063,-0.101189103889911,-0.0915026495905272,-0.105360351296528,-0.130125388090277,-0.130049334394297,-0.0813132771583516,-0.039424509335724,-0.0468380781329757,-0.0211923367609702,0.0203707323188082,0.0618985288036751
3,-0.164031628069514,-0.139020897150154,-0.126098631800069,-0.117723492560983,-0.116320865970893,-0.150361438450284,-0.202708576951796,-0.267628337226756,-0.327795258184706,-0.333783355216042,-0.335816646614305,-0.294674874604801,-0.232333861393714,-0.158911292298957,-0.0648943501825957,-0.00335305806577455,0.0717376966894618,0.139152020776343,0.192785344913944,0.237387616769001,0.290597512646816,0.367168695248248,0.429992603896013,0.458913224649313,0.505982124558522,0.532212882483713,0.509996742377881,0.458035557694857,0.395331301297041,0.361185956231235,0.312941975328723,0.29113731217708,0.298415377048629,0.292373402307841,0.279001929970566,0.227227799101589,0.142146418638318,0.0310267476599295,-0.0817162952928092,-0.150945337827289,-0.190702448219978,-0.179276765920339,-0.110075950116536,-0.0189725623819846,0.0480590134442331,0.066917023036706,0.0512157727237488,0.00494816387479019,-0.0617571287530113,-0.129193167219393,-0.151999226219975,-0.165083288985369,-0.132763735482634,-0.110461733515872,-0.103314964879889,-0.0937097854460878,-0.131354074082308,-0.12349007478128,-0.157284151843326,-0.161522439710181
4,-0.214404876727762,-0.119242740384609,-0.0379671965940001,0.0174753364143346,0.0734367733115715,0.114441624646871,0.0674200173276654,-0.000938123374711316,-0.0735796138657639,-0.143032494347336,-0.202948736781237,-0.201127800611416,-0.159557048795127,-0.111739014238946,-0.0513200307509176,0.0281359301089102,0.112489500266556,0.148674195998283,0.175695234597331,0.216265803680967,0.264635845984992,0.327457005241092,0.363550727072231,0.38173800784423,0.418877848022741,0.448961379066762,0.441706430944566,0.409217566763234,0.394653034385943,0.426187871797263,0.429293612798749,0.415858498073393,0.421922785217011,0.393982667731636,0.357856959553477,0.260537208700248,0.162827982043028,0.0698475384238504,-0.0274913040247052,-0.0787868981183533,-0.141295234732966,-0.160582599299937,-0.152117190160514,-0.138270566098304,-0.131507994358495,-0.152250655304167,-0.15018440275481,-0.150423503873554,-0.155468782346776,-0.165075434375572,-0.156468726387679,-0.121486968451589,-0.0893122952086424,-0.0643471683937288,-0.0677774909948754,-0.0792384610751078,-0.0972787477814296,-0.129663691756824,-0.181601066342856,-0.266843133646513
5,-0.225901240640052,-0.264537329179295,-0.281287469434771,-0.305191947557028,-0.304402465062065,-0.26599177499597,-0.218960273386819,-0.155315163395461,-0.109574697542463,-0.0510574238980562,-0.0102243083305759,-0.0105693905437576,-0.00333387879022859,-0.00197451721203465,0.0107236909184292,0.0426563591020465,0.0654415797271837,0.0944790678346997,0.112936845643828,0.136236891388993,0.172204787334051,0.191805510232753,0.25909569464232,0.330447850037905,0.413461099004755,0.491748052604055,0.559713877316915,0.615932663889515,0.590629623246414,0.523258857207613,0.445566080505417,0.331975548495931,0.190696437088623,0.0528989938622389,-0.0374865901006963,-0.0948317776253663,-0.156737095446963,-0.194888780995613,-0.213798894191996,-0.218618007161764,-0.205767085196221,-0.194808110672598,-0.17998847679245,-0.163444768079233,-0.132848474698406,-0.119522883533743,-0.125751566907629,-0.133173126185055,-0.140291078380516,-0.130309251195044,-0.136047653913093,-0.131643385111537,-0.104602299073088,-0.066716298520886,-0.0215279223104096,0.003701149031589,0.0383281190225951,0.062115191412219,0.0447612648447808,0.00725953609193679
6,-0.303822672532774,-0.263839662996087,-0.16891508341853,-0.0798288289728603,-0.048564453280679,-0.0918026964275714,-0.153207369077147,-0.194951203344061,-0.251424200745364,-0.30213572892592,-0.31797176647918,-0.271095414082412,-0.2311835243885,-0.210698780543505,-0.155924014269753,-0.104687139993287,-0.0431031349862628,-0.0108182875720351,0.0684079890832714,0.163497895503109,0.232819503437217,0.313901122902854,0.365788877928938,0.418214699373239,0.432281636517176,0.443517242999228,0.427399643412563,0.380078422220002,0.344290268829604,0.331454824528034,0.304135411801491,0.233539410522009,0.203714980623271,0.205218948571546,0.193972707437699,0.146754399898815,0.126298566266134,0.141551833672676,0.139174974054213,0.124170545714827,0.132139664432641,0.165120435633162,0.176561402419904,0.177049997324019,0.160869750658739,0.137580639555372,0.10870576321261,0.0497228333789505,-0.00266419089253343,-0.0494227573443504,-0.0775089118981379,-0.0903905351776779,-0.123796591179966,-0.139959493303241,-0.139556845763898,-0.130181211496855,-0.146507008569758,-0.176954953527744,-0.192688141713785,-0.18846324030067
7,-0.0771500462380597,-0.0688287374461143,-0.0560957439545923,-0.0732562111004438,-0.109770416047635,-0.13684826435912,-0.175266536626089,-0.198973530109616,-0.244242545881256,-0.266976671677522,-0.256924662255203,-0.225830766218334,-0.167485209948582,-0.0931900443489334,0.0232853176493639,0.107391230124706,0.196991355794722,0.212620032744157,0.194037113339933,0.178231050465816,0.153540344916417,0.172117345443481,0.172947884701749,0.279105094888349,0.389378313708064,0.497521727617983,0.568163302271778,0.603467226165871,0.653460829881641,0.599288153968071,0.544477108194821,0.456525937797604,0.399888752797105,0.325732837804381,0.210425082143253,0.169087286052769,0.114792229506396,0.0660376589947724,-0.00127287226038333,-0.0235229351647914,-0.000560164528405075,-0.0171713615055597,-0.0136924715642082,0.0063346532285483,0.0350301431554819,0.0280395262267606,-0.0122564730645994,-0.0576663786875526,-0.103660709552631,-0.180363999544589,-0.253996864091562,-0.294684659273923,-0.29502275366337,-0.261135204413108,-0.237663506237461,-0.178493195735597,-0.122218393665482,-0.0888131606413387,-0.107686904074777,-0.153729357252759
8,-0.152935274137302,-0.0772763514587544,0.0226276355573433,0.0835467678209349,0.118647418366407,0.139828384816896,0.138765287723395,0.0985717988554251,0.0479927251688005,0.0144096794706468,-0.00448961901199997,-0.0187075470002036,-0.0514758289196396,-0.01465246082809,0.0112461330490798,0.0681290599370513,0.133609236568645,0.211552396267227,0.345376530054495,0.430268286849676,0.521103502016811,0.588593537792516,0.654120618354,0.680028354621784,0.626798737219965,0.544682578290975,0.465253843892157,0.361717951062014,0.253388777389932,0.173462098536874,0.130960606439883,0.125827130956493,0.106662885880967,0.0859001885222356,0.0657689235246044,0.0450846722739251,0.0130521595016765,-0.0435753461929177,-0.0932794726061015,-0.107612266959057,-0.140874705586642,-0.211271808970773,-0.256843776350477,-0.248112231808716,-0.246972095577124,-0.25162731181654,-0.228300411460624,-0.148316973534925,-0.093196205271841,-0.0990675474157529,-0.0787791281020349,-0.0831740830426742,-0.111121660181033,-0.172515786247666,-0.223256186350634,-0.258506353320618,-0.321341549438236,-0.362143192314196,-0.386854990186552,-0.396036779711785
9,-0.301423692964042,-0.235814329342325,-0.189638970979951,-0.114728213612442,-0.0644677901832725,-0.0346974256248723,0.0102798749835939,0.0128570681437653,0.028919501464234,0.0242032840628746,0.025296049363691,0.014093220393104,-0.00843019101363537,0.036818678234535,0.0646653934096175,0.110178617696074,0.122501345526683,0.162118426422056,0.216654672741621,0.225042645088875,0.282991900384696,0.307009566273481,0.367766570670235,0.414182521187563,0.435937927691814,0.46786941379761,0.448578061180056,0.458559373574962,0.460085422787734,0.445007538662098,0.441311428997734,0.391782337742547,0.342782135697253,0.283506263098835,0.213487067232693,0.16174747784183,0.0872759665130605,0.0580516031938856,0.0369784226157499,0.00222765758415064,-0.0313977935119699,-0.102105777092342,-0.138828868135203,-0.185209317110186,-0.244883215437265,-0.283548365961207,-0.306677554391409,-0.275042048397443,-0.280271418675368,-0.29131842754166,-0.277599710238268,-0.286411368392294,-0.302566089644437,-0.324842473369215,-0.2852600379876,-0.229972686656827,-0.160843541552281,-0.0690511302733382,-0.00237727719089644,0.0335136104207596
10,-0.132389133237457,-0.0676526200879739,-0.0292677248360931,-0.00204883527983394,0.00491064542405214,-0.0207743704084848,-0.0539853886654622,-0.0997698486841134,-0.137555692228334,-0.156724243838663,-0.146140872444917,-0.103549620404352,-0.0714573878278426,-0.0240056613006564,0.0341744452075939,0.136752341712275,0.242740604502319,0.343791423756473,0.441844813573794,0.537519356997836,0.612496112494759,0.603850749689678,0.575895113768314,0.519309826093878,0.495442583237784,0.464984413720842,0.426598955457157,0.424250369373891,0.41045417217884,0.41019349737621,0.352785013815941,0.275181361230546,0.224455519345884,0.144758676389817,0.0748504067165476,-0.00528148128573876,-0.0556549210449349,-0.0822740744307773,-0.124736867520617,-0.121799156318641,-0.119982210366277,-0.0988984732885118,-0.0722109459611996,-0.0417817143779035,-0.0345407666432828,-0.04805448273149,-0.0694140822546618,-0.114786616770878,-0.141411673454142,-0.181253751377647,-0.1916738989488,-0.20928358040959,-0.212632271955833,-0.204816706027443,-0.245419789731817,-0.278876051919967,-0.309443210734626,-0.337968169532091,-0.365820450337831,-0.364900455114234
