SubjectIndex,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60
1,0.153064265484644,0.0776011207250614,0.0272461392021927,-0.0380354996920574,-0.132872765832076,-0.200990228368997,-0.200336168042314,-0.155624712216046,-0.130473932183747,-0.0961994589034655,-0.0642192665832907,-0.0371137717476627,-0.0707260196327197,-0.180941146799381,-0.30375121825008,-0.41916155599089,-0.524472860025776,-0.619898824940653,-0.66047185220618,-0.62649392120036,-0.550448293198595,-0.482928652677514,-0.408847717680511,-0.324173912900139,-0.251194489261936,-0.190034176488495,-0.135827751001623,-0.0799864165004404,-0.0174695118998094,0.0509623127881749,0.128515544458693,0.183216722665003,0.235896438830377,0.291287503324683,0.308414368613783,0.303887486673962,0.28567353326166,0.282137436079416,0.249666546807323,0.215354938750719,0.207262998166971,0.217059351482043,0.224144291315689,0.207137978942176,0.221797892121153,0.224360211725555,0.210224286907624,0.156220254287722,0.115011665326108,0.120066149906577,0.105908233062435,0.110695261731171,0.132644112515561,0.198844775632232,0.241710909289348,0.228104155717945,0.215529346430558,0.192693214966051,0.168284507173176,0.110558159521557
2,-0.264954005708483,-0.227093517863133,-0.232185566934706,-0.25474935099734,-0.340247822866763,-0.46650464624764,-0.561861258480466,-0.652907083787821,-0.695963490374451,-0.732033325367838,-0.706717181974424,-0.639212581231297,-0.541592155455925,-0.445733976639203,-0.303814241909513,-0.148645737367901,0.0163842598367354,0.170558621856388,0.270978461547727,0.358898943349388,0.389956175504112,0.407882991095503,0.390954139446935,0.387023921439171,0.40825823850434,0.429337813466106,0.474046591185737,0.52211157487711,0.577122525843537,0.591075376794579,0.60837508935729,0.626460421271546,0.561006693140403,0.49310572217443,0.415761386860316,0.363829726834325,0.292965098423986,0.231331505998107,0.251690625206366,0.274196315303901,0.292377181217128,0.307570420342001,0.270859679338935,0.217527946711755,0.156369176082709,0.095543476104097,0.0566162794838099,-0.00868180645351068,0.0188221407028371,0.0571515552992399,0.0599310683152363,0.0503889689587508,0.028983142212009,0.0488346732750557,-0.00966910244697755,-0.0792169876886658,-0.133881503256025,-0.172933012752921,-0.221199327860041,-0.285569205665915
3,-0.2848576025629,-0.235508220803076,-0.206348943885317,-0.186421283479118,-0.178689699312778,-0.207098357647333,-0.255026073255327,-0.311214466546889,-0.376031760609633,-0.411952620255164,-0.43397469020747,-0.415950693079652,-0.373316845917381,-0.318358354622356,-0.214299451364852,-0.0956652453791276,0.040538797133327,0.190302453518177,0.315119219599154,0.421537980951425,0.507068667035594,0.553458878117601,0.575790298896664,0.534273824204804,0.515903042499898,0.492442289244075,0.455065981663802,0.439885238540652,0.422098702963579,0.448106571444719,0.447884802525451,0.458628241726638,0.462084881842675,0.425470995304457,0.386669444577575,0.295636988998367,0.206998117702289,0.103848753759825,0.0155924697129782,-0.026841586053535,-0.0545003060529625,-0.0172782437079225,0.017733584749455,0.0655875329448841,0.0991344912094309,0.115106906991308,0.0971572426310886,0.0376980299692375,-0.0225065772509602,-0.0823031719715319,-0.107400700946938,-0.169230610326549,-0.190465114318678,-0.207158039070875,-0.190418276546653,-0.167955411611317,-0.179078651053522,-0.129654856673881,-0.106331757789125,-0.0689131793120322
4,-0.272481844631601,-0.237895023434233,-0.181430470067727,-0.137906162466884,-0.0727979013277195,-0.0367664362908845,-0.000772124878511466,0.0171287117732361,0.0200184495766659,-0.0177638433724754,-0.0774055634770136,-0.102470318354025,-0.168086790284549,-0.200977357463255,-0.23525093941447,-0.236056523160169,-0.205438054055201,-0.211962324200319,-0.160650932393335,-0.110637232495869,-0.0358791433902845,0.0946921392929649,0.205073826610493,0.344046833380969,0.456521970939211,0.545169356259006,0.59327605643588,0.57878346534647,0.558427326808441,0.502611195847003,0.441319218358916,0.387030545552315,0.357659376537422,0.30136629829821,0.258933948245842,0.250875911961943,0.21793759636571,0.190939368987945,0.161632865407756,0.174179904976722,0.167506575635471,0.128361124489604,0.154298607282321,0.147181099052779,0.129035650862207,0.099814915842331,0.0865458810431768,0.0824629267234198,0.026425234233919,0.0056442497578645,-0.00418161736726379,-0.0179533429140682,-0.0238799846532224,-0.0201182129016415,-0.0141529818889833,-0.00389423562806393,0.000333003599867974,-0.00927162666332374,-0.0421616846926782,-0.123156692349195
5,-0.43659764735444,-0.473527231647056,-0.475519197667276,-0.50708567247432,-0.496854193621941,-0.457283249161627,-0.430295483340397,-0.387802168444263,-0.360581245294031,-0.271086103240031,-0.1837734539853,-0.0977856327680698,-0.00933010772848975,0.0678305259041351,0.128116799129018,0.153223978877066,0.158640091859298,0.173184609332933,0.197354495339333,0.226432293874148,0.302195622447854,0.389127044986833,0.498743414902078,0.581900331371033,0.66010687578407,0.724867874098301,0.755537502771281,0.771709244313291,0.733093540490386,0.672076853483205,0.603740125263232,0.505836403386621,0.407210767790138,0.285788220506446,0.170347793034675,0.0993252505365027,0.0376068861788843,0.00627875994224794,-0.0374328722391984,-0.0532745552334318,-0.043159201721337,-0.0569242837320521,-0.0842121750931378,-0.112428915484692,-0.123542739856566,-0.156888198688173,-0.19209194855428,-0.235284362978647,-0.270122425068596,-0.312099476585966,-0.336882704422929,-0.325112968182146,-0.287355818016828,-0.211116785074275,-0.13823958061935,-0.0649497666462887,-0.0112888404208919,0.00420336005507643,-0.0156080026050822,-0.0583994326069968
6,-0.135872060936056,-0.0765161593321245,-0.00627093173326156,0.0563875061730287,0.0640668085640144,0.0124492758957791,-0.059189879491847,-0.13974975573792,-0.209312214251061,-0.275870104177151,-0.303664026926406,-0.290737838519656,-0.288056222542903,-0.264226862299838,-0.238538357549727,-0.222355803491313,-0.1990907471778,-0.176108126620857,-0.118182866676727,-0.0722321760289027,-0.00235628026345053,0.0799520800464464,0.134607971182916,0.158525389143236,0.18304580159713,0.232318173571978,0.228624207116229,0.213967856068559,0.213630239728711,0.235373530941294,0.240887281642583,0.191817104881314,0.198157668346805,0.217140141147528,0.222751959082847,0.228670109306407,0.232739433307474,0.258024633116396,0.254934648229263,0.245252317132599,0.253223592784164,0.257989595171008,0.260416004008565,0.282981924758264,0.279757381367163,0.264918610970023,0.250207844922266,0.218252698378516,0.178099910781157,0.122924410335119,0.0991037933514623,0.0972295994827039,0.0702661554080966,0.0484014804237506,0.0414239443270056,0.0386080176775042,0.00191833268753313,-0.0558616831062859,-0.104287068833468,-0.124576518407718
7,-0.33532590700429,-0.234298025445421,-0.181355838890008,-0.150464056697034,-0.137031661991427,-0.161879587217392,-0.208331632068378,-0.232114660316127,-0.241525252376759,-0.238428541787778,-0.239358219808096,-0.218866797683669,-0.164742661461068,-0.130334859134198,-0.0793442547257901,-0.0230233185563584,0.0595853919460139,0.166617357129633,0.222620716582868,0.307520900507934,0.390365915718216,0.453084553413501,0.48945483350436,0.493139728281177,0.552660464576135,0.592538604295025,0.61196892869419,0.637925724441165,0.668753732485304,0.68180647821053,0.639703101413735,0.544152021662715,0.446464691500808,0.351164282862549,0.231044826522686,0.142031888517952,0.089055204040065,0.0873793452384642,0.0851367924078603,0.0775012219487679,0.119774337635272,0.132044112260529,0.110893995737618,0.0774068282937635,0.0575678784091499,0.0555609168381315,0.0032929072972338,-0.0337778417116676,-0.035819648068034,-0.0318191847561147,-0.00506614504801049,0.00404735648605333,0.0615620386155395,0.0985849128853213,0.101526244689541,0.0732921174554084,-0.00282418670163365,-0.0844356651895767,-0.198371115930476,-0.309313694872034
8,-0.292958602237764,-0.200512218003422,-0.0986937655326612,-0.0260682990352756,0.0287610043049394,0.0385970944142169,0.0463578057067086,0.0115453183535608,-0.0324271053120005,-0.056799549303399,-0.0793126162500905,-0.0683190251819778,-0.10275542823364,-0.0779091654705483,-0.0464375978423582,0.00728942556219287,0.0654548716520831,0.107401946927374,0.22202593767252,0.279440066487309,0.328476459319399,0.367426523015795,0.416517545176904,0.463569464100903,0.413752363816261,0.373013635638429,0.345495984773961,0.275806941727261,0.189640975681456,0.101997026145284,0.0936178943354837,0.0870145145053407,0.0625122535895837,0.0566707258602483,0.0525964907345081,0.0563678802878956,0.0164668983721912,-0.0123148588729894,-0.0447988492678161,-0.0500408999606555,-0.0621336629018927,-0.0960863103429652,-0.085357417058632,-0.0549575751439596,-0.0239482147242779,-0.00965148259400493,0.0275933074335625,0.0840009766612106,0.0829431157563873,0.0329651520325455,0.00540644201917641,-0.0170157130380962,-0.056579496969899,-0.115874001941057,-0.142662529816701,-0.1441509924314,-0.162842772589026,-0.205222004172591,-0.247227980356525,-0.272045431685011
9,-0.301956076744125,-0.228515302180627,-0.175252519362363,-0.136178029133153,-0.104837983929828,-0.147460727119358,-0.201518450011641,-0.279742086836365,-0.315823090522787,-0.323217377465218,-0.329188294428622,-0.294907645139409,-0.244904234331859,-0.172822756576613,-0.126500114278226,-0.10063382242727,-0.072955893808233,-0.0134676558270583,0.0621240823467053,0.175180109142428,0.308174176387863,0.419647389698805,0.49647763085447,0.542980343060601,0.572296907297233,0.529402342753532,0.477985260473014,0.460726153210086,0.472397416588519,0.477887272389615,0.460578838232704,0.460265422426199,0.44367789555622,0.401828904160672,0.352389560903406,0.308562690274914,0.272770079119915,0.21602662173356,0.156249377479235,0.121412851794453,0.0955703802317582,0.0509832314268166,0.0277233420285655,0.0451760803477824,0.0558110570726341,0.0442737399101651,0.0152706079276426,0.0190421600428316,-0.0050423078328674,-0.0852719260709481,-0.121042800037862,-0.150660265263151,-0.160324453864271,-0.187530465343482,-0.197147044937257,-0.160234832921674,-0.167660727983087,-0.167284865860486,-0.189317418999379,-0.229881573768449
10,-0.228460743680156,-0.165095017653946,-0.145407270096403,-0.130948543025876,-0.174567645663626,-0.270323193926842,-0.366252327159948,-0.458922879107923,-0.508295830511347,-0.572074338331849,-0.602211852013677,-0.600190467878112,-0.577803737766447,-0.544602939541241,-0.504891368644091,-0.393254560618287,-0.242101259361136,-0.0801454545002159,0.0908544443042941,0.260929974154923,0.429670478266294,0.533222599040996,0.571021527020583,0.607367494197689,0.64159320372652,0.66469521250267,0.66072443097112,0.65854312260569,0.689087050893021,0.708765157257749,0.673842406950245,0.628669422316565,0.593646885798608,0.548964708222387,0.489205012689317,0.397536562713263,0.310052963067768,0.23401853429992,0.142637379506572,0.069908096536279,-0.00208058831317917,-0.040272046696557,0.00892415926750691,0.0687175186048522,0.126401159809936,0.174658776671358,0.223546430437836,0.240994572308071,0.172187165943414,0.0806126774004547,0.017706443993572,-0.0661487295349747,-0.155905283147575,-0.221597092456255,-0.265138422624404,-0.280426360602792,-0.329237697340521,-0.331954783849157,-0.332696246770229,-0.315687140330593
