HighResSampleIndex,ApproxTime_s,PRE_Mean,PRE_SEM,TEST_Mean,TEST_SEM
1,-2.4,-0.173164264671262,0.0217100895313978,-0.189245879958327,0.0247044743605692
2,-2.2,-0.148004919075283,0.0218043474783568,-0.192493741848661,0.0252699570049644
3,-2,-0.133594447447326,0.0236147902312878,-0.181379035934457,0.0261958656156451
4,-1.8,-0.130243591259462,0.0268746728072484,-0.174437654511968,0.0274327221778421
5,-1.6,-0.139659414817407,0.0294777540043697,-0.170193193231021,0.0266740415092634
6,-1.4,-0.156834075260239,0.0312910245591264,-0.165612159839646,0.0244384943173323
7,-1.2,-0.171839799401553,0.0300549759902871,-0.152440684332294,0.0233168697033223
8,-1,-0.184673073510595,0.0267541555639811,-0.147021414742804,0.0231267663235917
9,-0.8,-0.187311769672814,0.0239093498154406,-0.150637922153275,0.0246910454774115
10,-0.6,-0.178538049949778,0.0236969034351085,-0.145828254398124,0.025467157502785
11,-0.4,-0.152567004535234,0.0240570780455307,-0.139326417210373,0.0245864841948752
12,-0.2,-0.108293166930781,0.0259332063181716,-0.132748414324962,0.022062110549908
13,0,-0.0594421052802242,0.0287953738072089,-0.121071581556581,0.0223587280342019
14,0.2,-0.000731975327201367,0.0324543064102746,-0.0967826828457953,0.0224407903136133
15,0.4,0.0679987941556043,0.0342435128956085,-0.0571151590637842,0.0242312845966493
16,0.6,0.145072934381019,0.0375862094089346,-0.0147826468839227,0.0289792266063225
17,0.8,0.22359563000701,0.0414872123047135,0.0413291300510858,0.0339313438048051
18,1,0.292690414641405,0.044309588413762,0.106871924038777,0.0386072799117617
19,1.2,0.362181637161911,0.0475081496839568,0.173899363170172,0.0421403316227879
20,1.4,0.425531259242874,0.0510494416217035,0.238341597989365,0.045159780972825
21,1.6,0.481364070657768,0.0511853257439915,0.295555390521659,0.0446791748352957
22,1.8,0.522645467217006,0.0492096888354885,0.347675434450453,0.0422195389010975
23,2,0.551381116860651,0.0447917585251719,0.384355738420001,0.0392609952963133
24,2.2,0.572874384574532,0.0395414898324807,0.410725674782493,0.0361920488086358
25,2.4,0.585007642887131,0.033657142944682,0.427398713300789,0.0338612999366499
26,2.6,0.583119436579355,0.0284830298746885,0.434649148176525,0.0293444551554984
27,2.8,0.562238148705717,0.0262530414300172,0.430429488355668,0.0257848461698093
28,3,0.534573108285218,0.0270055095183478,0.419270722740391,0.0236092184715354
29,3.2,0.497606408780154,0.0289650827568388,0.404627293970036,0.0245348190024304
30,3.4,0.455496224356745,0.0300931859263711,0.376756216131615,0.0262776113102615
31,3.6,0.398625830422085,0.0292141947125876,0.343799973582241,0.0271843106949108
32,3.8,0.33486850465215,0.0270159077397038,0.300276680820214,0.0282536364458596
33,4,0.273292462999618,0.0257171016635314,0.254375103242861,0.0297672444122437
34,4.2,0.209126793542643,0.0274718835415571,0.202682938502412,0.0306280250013362
35,4.4,0.146304338395994,0.0269808506720662,0.14424943991422,0.0309796642241019
36,4.6,0.0833234965089289,0.0262340747097219,0.0936120637699635,0.0321371839200687
37,4.8,0.0342940134758595,0.0246161774786334,0.0456035146933654,0.0344730587714775
38,5,-0.00589718833650645,0.0232323779791822,0.0104851754034591,0.0358488340299015
39,5.2,-0.0393417742706368,0.0222502788561819,-0.0139436102998655,0.0343076284089343
40,5.4,-0.058269278578823,0.0222392332817934,-0.0285870466739709,0.0317406650625429
41,5.6,-0.0715614180234433,0.0238911816620996,-0.0332721461441375,0.0307574511962085
42,5.8,-0.0787544827801966,0.027189721236989,-0.036833269480033,0.030713320431093
43,6,-0.0853933741056525,0.0298514457130301,-0.0385656386325438,0.0304797415096304
44,6.2,-0.0924094663326867,0.0319231684526745,-0.043194289700392,0.0330269894353379
45,6.4,-0.104515333736788,0.0331574559946795,-0.0608136555197919,0.0309308250175918
46,6.6,-0.130069426889455,0.0340514854825762,-0.0800023028020734,0.0281396743442615
47,6.8,-0.155004295762787,0.0338219915322528,-0.100737775150565,0.0242526032747395
48,7,-0.18165179830992,0.0338913513041111,-0.11997336847475,0.0203799370827591
49,7.2,-0.205700288993302,0.0326278105425505,-0.13894100315395,0.019080021609677
50,7.4,-0.224601659298737,0.0301304498797117,-0.157410303881849,0.0192913627739155
51,7.6,-0.230820311947162,0.0283011612572891,-0.16591832571663,0.0204468094897274
52,7.8,-0.227101932628435,0.0254706385901309,-0.171207039255513,0.0224846848021675
53,8,-0.218567086400199,0.023226203959555,-0.168380830076596,0.0234399798296551
54,8.2,-0.206714266570288,0.0213006492822564,-0.165159915003045,0.0246999380835551
55,8.4,-0.198403849681309,0.0209805785019917,-0.161653904421721,0.0251273135095112
56,8.6,-0.190904518038119,0.0214854408698458,-0.153366983776405,0.0258786959507281
57,8.8,-0.190080712233691,0.0213564107147369,-0.139283293088356,0.0261201766267481
58,9,-0.188455188822891,0.022888870656165,-0.132965089506863,0.0249437301831868
59,9.2,-0.197654113569394,0.023419798457687,-0.140277656953486,0.02161961744548
60,9.4,-0.210486082430942,0.0243621242510586,-0.145102560316303,0.0196854616361633
