Statistic,Estimate,P
Pearson_fr_winner_vs_PRE,0.052554766052578,0.807317156596848
Pearson_fr_winner_vs_TEST,0.263678282813653,0.213142133984278
Pearson_fr_winner_vs_delta,0.195077188741999,0.360989645830714
Spearman_fr_winner_vs_delta,0.318676806405175,0.129080573245769
Paired_PRE_vs_TEST_ttest,-5.68253495131275,8.72600561340364e-06
Paired_PRE_vs_TEST_permutation,NaN,9.99900009999e-05
