TimeBin,Mean,SEM,Condition
1,1.01159831582251,0.00716742880914182,PRE
2,1.00933986210932,0.00661301596382827,PRE
3,1.00749586595424,0.00596317838440854,PRE
4,1.00556155744294,0.00541040015494058,PRE
5,1.00324147227902,0.00505382700455027,PRE
6,1.00044671101934,0.00435996672553658,PRE
7,0.999134904140428,0.00401732926427138,PRE
8,0.997445884702812,0.00389344321303647,PRE
9,0.997557835746911,0.00388679550832424,PRE
10,0.996496955762772,0.00408197953156439,PRE
11,0.996905834431758,0.00413763952952284,PRE
12,0.995857847046268,0.00407594311660183,PRE
13,0.996621382381857,0.004085080683737,PRE
14,0.996196799049915,0.00453421322387595,PRE
15,0.998048069278847,0.00443588497437638,PRE
16,0.999256617028973,0.00432878331648531,PRE
17,1.00060797326088,0.004341026321995,PRE
18,1.00047131989687,0.00453841592409769,PRE
19,1.000366406247,0.00474674343292573,PRE
20,1.00077822978455,0.00503555069870758,PRE
21,1.00141061289894,0.00499575670786804,PRE
22,1.00583997078218,0.00626400973300186,PRE
23,1.00851602001399,0.00720331178990113,PRE
24,1.009741521022,0.007751136619836,PRE
25,1.0153341782086,0.00850602671574319,PRE
26,1.02489020594922,0.00976107093956239,PRE
27,1.03565980810957,0.0103015506991733,PRE
28,1.04383260212818,0.01061455575737,PRE
29,1.04695285101497,0.0108144005886148,PRE
30,1.04693627272303,0.0109110614612366,PRE
31,1.04251072153113,0.0108142627107573,PRE
32,1.03751710550984,0.0109095542019848,PRE
33,1.03141504287722,0.0108676349209417,PRE
34,1.0238238199691,0.0120831717153884,PRE
35,1.02042265720319,0.0121641477017153,PRE
36,1.01871242227583,0.012365352729714,PRE
37,1.01570206130131,0.012311192960033,PRE
38,1.0140370770546,0.0124139606516104,PRE
39,1.01195558019296,0.0126206649326851,PRE
40,1.00756549898233,0.0132285118267736,PRE
41,1.00540516444204,0.0133635308330249,PRE
42,1.00100000410948,0.013426533779761,PRE
43,0.999567881302523,0.0133532179291161,PRE
44,0.999717715866167,0.0132619176214228,PRE
45,0.998861430171117,0.0133307049814779,PRE
46,0.999466409919045,0.0134943081431277,PRE
47,0.999342839199209,0.0135592330970334,PRE
48,0.999178525907391,0.0135798831633454,PRE
49,1.00027661524762,0.0135418942563811,PRE
50,1.00050648548403,0.0135618329476282,PRE
51,0.998722564508789,0.0126870360040754,PRE
52,0.997958049229459,0.0123241337607481,PRE
53,0.99823901566863,0.012224336568835,PRE
54,0.997809370813696,0.0118460321451175,PRE
55,0.998750412330321,0.0118557034596568,PRE
56,1.00070486378185,0.0122365377550829,PRE
57,1.00310028133897,0.0122816800537114,PRE
58,1.00322389061143,0.0122789481201765,PRE
59,1.00427429500786,0.0123561601808678,PRE
60,1.00513810553342,0.012433128371907,PRE
61,1.00536329800616,0.0126499924730999,PRE
62,1.00577009302793,0.0129890580533097,PRE
63,1.00535798619156,0.0130708461624895,PRE
64,1.00470157471412,0.0137234817897363,PRE
65,1.00410131931992,0.0140260661330439,PRE
66,1.003679570276,0.0136614520195096,PRE
67,1.00335344911837,0.0133426301722611,PRE
68,1.00323170021566,0.0133721166220367,PRE
69,1.00156063603469,0.0132109368682714,PRE
70,1.00191456609548,0.0132066767327508,PRE
71,1.00367161868961,0.0133124412690554,PRE
72,1.00417701144514,0.0134394977346133,PRE
73,1.00425399113637,0.0135905025067238,PRE
74,1.00318533125633,0.0135805653116689,PRE
75,1.00339421305092,0.0134916297742449,PRE
76,1.0023380930312,0.0133095355160214,PRE
77,1.00206334666541,0.0130894963620939,PRE
78,1.00114332213366,0.0132003361616881,PRE
79,1.00342948093546,0.0132042735370244,PRE
80,1.00229229994176,0.0129548871534351,PRE
81,1.00286686800278,0.0121590987144783,PRE
82,1.00361895772663,0.012077163528679,PRE
83,1.00338567631666,0.0120777733515351,PRE
84,1.00336718710947,0.0120294212960197,PRE
85,1.00334491488922,0.0117780293544388,PRE
86,1.00548161790715,0.01215697867639,PRE
87,1.00609168269372,0.0120948057431989,PRE
88,1.00690937012917,0.0123593896746794,PRE
89,1.00656057203686,0.0124604995636924,PRE
90,1.00662141529405,0.0123612936363574,PRE
91,1.00659152833946,0.0125159418232231,PRE
92,1.00536737900442,0.0124311971699809,PRE
93,1.00292835193421,0.0126573760659295,PRE
94,1.00171188232711,0.0125855250777786,PRE
95,1.00107837748626,0.0126379188702483,PRE
96,1.00102526127859,0.0126077675501792,PRE
97,1.00236098086469,0.0130629437632514,PRE
98,1.00192971921246,0.0127778181179765,PRE
99,1.00129395857322,0.0124056697505298,PRE
100,0.997974091586147,0.0125171843294151,PRE
101,0.996691886715994,0.0123553223445121,PRE
102,0.995236881317881,0.0123308344128223,PRE
103,0.99367755052309,0.0126242658341364,PRE
104,0.993900945189915,0.0124814624322184,PRE
105,0.994565354750191,0.0125802112864686,PRE
106,0.995544061369217,0.0124400321436665,PRE
107,0.995606540257004,0.0117963922324701,PRE
108,0.997457610507702,0.0116839832301858,PRE
109,0.998279108801326,0.0117773937103157,PRE
110,0.999094997710325,0.0118571889393966,PRE
111,0.999102797847033,0.0120832486221675,PRE
112,0.996923708417775,0.0123946054831732,PRE
113,0.998674520281718,0.0126152556155413,PRE
114,0.998275942152859,0.0125326130384268,PRE
115,0.997551022115607,0.012650962038043,PRE
116,0.995333501908987,0.0126857732513079,PRE
117,0.994282656044571,0.0131048207262656,PRE
118,0.994217651039603,0.0132020193531707,PRE
119,0.99377538927609,0.0133153845000758,PRE
1,1.0071266892169,0.0053164671177581,NON-PAIRING
2,1.00668994087139,0.00525182243927602,NON-PAIRING
3,1.00601120219013,0.00486895223258452,NON-PAIRING
4,1.00390009339936,0.00446620491113472,NON-PAIRING
5,1.00218386778001,0.00400725158051851,NON-PAIRING
6,1.00044438602445,0.00363624443961073,NON-PAIRING
7,0.999999913639165,0.00345588326348502,NON-PAIRING
8,0.997961999426694,0.00317675198049027,NON-PAIRING
9,0.99868237517642,0.00307279409067173,NON-PAIRING
10,0.998715608405935,0.00297727903697012,NON-PAIRING
11,0.998601835367435,0.00322647630806166,NON-PAIRING
