animal_ID,block,lid
1,1,23270.7184
2,1,24836.7047
3,1,20804.5034
4,1,23428.8647
5,1,24057.0063
6,1,21427.19
7,1,29948.1067
8,1,25435.8425
9,1,32507.4659
1,2,22366.854
2,2,22526.7614
3,2,23352.963
4,2,20912.4671
5,2,24846.2894
6,2,26502.6725
7,2,30647.6661
8,2,23150.2489
9,2,35108.9779
1,3,20707.3882
2,3,26367.3969
3,3,23759.0247
4,3,22867.2655
5,3,21709.7937
6,3,26284.7891
7,3,28731.6857
8,3,24873.9354
9,3,34772.9886
