AnimalID,AnimalNumber,Rank,BOLD_Pre,BOLD_Test,BOLD_TestMinusPre
0007CA3BEA,11,8,0.0193949810986258,0.120671853735162,0.101276872636536
0007CB2246,12,10,-0.413881038298638,0.191812651807888,0.605693690106526
0007CB2584,13,3,0.216954986613406,-0.239168159357383,-0.456123145970789
0007CB2275,14,2,0.33082509519483,-0.210864329641007,-0.541689424835836
0007CB39B0,17,11,-0.315466395461598,-0.213547749262501,0.101918646199097
0007CA3D87,18,5,0.0646790083269994,-0.171129391803507,-0.235808400130507
0007CB3395,19,4,0.0231326549685985,0.00330513650766158,-0.019827518460937
0007CB6A8C,22,6,-0.381805280069618,-0.0136729218004842,0.368132358269134
0007CB6B2C,23,1,0.225585624316717,-0.00634478160443351,-0.231930405921151
0007CB24AD,24,7,-0.181345875956543,0.13865970414228,0.320005580098824
0007CB24DA,25,12,-0.437214325751563,-0.00737595142483928,0.429838374326723
0007CA38FF,26,3,0.543419815796306,-0.127069303791201,-0.670489119587507
0007CB357C,27,4,-0.0911221301243843,-0.296447067174291,-0.205324937049907
0007CB239E,30,4,0.0990165575898414,0.0279742187032041,-0.0710423388866374
0007CB4123,31,3,0.048096434177126,-0.153572585024496,-0.201669019201622
0007CB42F2,32,8,0.203633384893233,0.273525909784898,0.0698925248916645
0007CB08A5,33,12,-0.523570529072869,0.0643930177906599,0.587963546863529
0007CB6EA3,34,6,-0.180626598137947,0.0924845516864519,0.273111149824399
0007CB0ABC,35,7,-0.147925778388289,0.0925103647432558,0.240436143131545
0007CB1EC1,36,11,-0.145507528562714,0.0536152900673662,0.19912281863008
0007CA3A35,37,1,0.124469996051377,-0.0261188690229692,-0.150588865074346
0007CB330D,38,7,-0.182818756927103,-0.086071670010405,0.0967470869166984
0007CB2144,39,9,-0.187125652064424,-0.0380919142611041,0.14903373780332
0007CB0D91,40,11,-0.366031043990971,-0.049574091414473,0.316456952576498
