Region,T_TEST_minus_PRE,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom
FP,1.53819088637089,0.13764703220558,0,0,23
OF,4.80534338061226,7.56386780746462e-05,1,1,23
PL,5.7266960894405,7.83947402971552e-06,1,1,23
IL,5.19722997423639,2.86373656364695e-05,1,1,23
Cing,5.86568877280158,5.6024535502737e-06,1,1,23
Th_PM,5.19470035894702,2.88166626150996e-05,1,1,23
Th_SM,5.36624353114561,1.88914715948258e-05,1,1,23
M1,4.37567749782064,0.000220724762521413,1,1,23
M2,5.49148336065783,1.38994646074987e-05,1,1,23
S1,4.15358213458223,0.000383954744461892,1,1,23
S2,2.02009190633192,0.0551701863718847,0,0,23
OB,6.55882628238849,1.08200362172977e-06,1,1,23
AON,3.6955842587402,0.00119420136084369,1,1,23
Otu,1.03618495672068,0.310887961687613,0,0,23
Pir,-0.36707749772802,0.716917016683039,0,0,23
DPA,4.52321321826669,0.000152764305067084,1,1,23
TT,5.43959917282285,1.57812490581385e-05,1,1,23
Sept,5.36810162472331,1.88054895535407e-05,1,1,23
Nacc,4.7819679533443,8.01681432334587e-05,1,1,23
CP,4.55259132204167,0.000141971666861995,1,1,23
Pall,3.46535743859146,0.0020977622961543,1,1,23
VP,1.87048756835221,0.0741955531557123,0,0,23
Cl,2.83992287406695,0.00927671876872678,1,1,23
Amyg,1.28944783153509,0.210059288649317,0,0,23
ZI,2.93055831018254,0.00751759213269861,1,1,23
I_dors,1.9164214134008,0.0678202495000241,0,0,23
I_ventr,2.17231410307535,0.0403887144657797,1,0,23
I_post,1.66201934698511,0.110079734685038,0,0,23
Gust,2.92054692931933,0.00769501187423378,1,1,23
Visc,1.63378118382029,0.115920368819106,0,0,23
Perih,2.77689725886625,0.0107236571271101,1,1,23
Ect,1.88607361384635,0.0719760346162226,0,0,23
Ent,2.18254707856866,0.0395366765987883,1,0,23
Temp,2.24036820600696,0.0350207924565251,1,0,23
ParAss,2.12642724438212,0.0444168947302366,1,0,23
RS,3.80025389007681,0.000922625907591555,1,1,23
CA,2.39481016333954,0.0251667574423245,1,1,23
DG,4.04865280422921,0.000498491292945764,1,1,23
Sub,3.66972602847983,0.00127259311594069,1,1,23
SC,5.69704775853476,8.42395137605112e-06,1,1,23
PAG,5.6473576630435,9.5046320018745e-06,1,1,23
VTA,2.56859164114717,0.0171733475697865,1,1,23
SN,0.86309686661421,0.396995297620105,0,0,23
NclR,3.84231340052084,0.000831541346130805,1,1,23
RN,3.63491133384942,0.00138617360878681,1,1,23
MB,4.88873774469003,6.14762034886677e-05,1,1,23
Pons,3.7133809925226,0.00114302811978654,1,1,23
Periv,1.38843834563655,0.178305234927548,0,0,23
Hyp,0.444451089903595,0.660870510641376,0,0,23
Aud,4.07636071557128,0.000465305342425353,1,1,23
V,3.35421487432914,0.00274655751171985,1,1,23
IC,3.29696856695525,0.00315313652472487,1,1,23
