Panel,SparsityRange,Predictor,Metric,AnimalID,AnimalNumber,ScanDay,PredictorValue,Pre,Test,TestMinusPre
Figure_S9A,45-50,Rank,g_delta_C,0007CA3BEA,11,3,8,0.249560612047178,0.0127330530419693,-0.236827559005208
Figure_S9A,45-50,Rank,g_delta_C,0007CB2246,12,3,10,0.246577985417667,0.108813654323455,-0.137764331094211
Figure_S9A,45-50,Rank,g_delta_C,0007CB2584,13,3,3,0.298180198016989,0.0709239305825368,-0.227256267434452
Figure_S9A,45-50,Rank,g_delta_C,0007CB2275,14,3,2,0.310287389935034,0.143134872561759,-0.167152517373276
Figure_S9A,45-50,Rank,g_delta_C,0007CB39B0,17,3,11,0.0577108644780462,0.0557306805662767,-0.00198018391176946
Figure_S9A,45-50,Rank,g_delta_C,0007CA3D87,18,3,5,0.268794868816165,0.0026173842311696,-0.266177484584996
Figure_S9A,45-50,Rank,g_delta_C,0007CB3395,19,3,4,0.144386652804539,0.00109042455132201,-0.143296228253217
Figure_S9A,45-50,Rank,g_delta_C,0007CB6A8C,22,3,6,0.0857045003703627,0.0919680904481006,0.00626359007773789
Figure_S9A,45-50,Rank,g_delta_C,0007CB6B2C,23,3,1,0.0903786098818213,0.00612081297706279,-0.0842577969047585
Figure_S9A,45-50,Rank,g_delta_C,0007CB24AD,24,3,7,0.00103570315400687,0.0268632090279709,0.025827505873964
Figure_S9A,45-50,Rank,g_delta_C,0007CB24DA,25,3,12,0,0.0537142831187975,0.0537142831187975
Figure_S9A,45-50,Rank,g_delta_C,0007CA38FF,26,1,3,0.128142234392018,0.0442115142188314,-0.0839307201731863
Figure_S9A,45-50,Rank,g_delta_C,0007CB357C,27,1,4,0.210488724933285,0,-0.210488724933285
Figure_S9A,45-50,Rank,g_delta_C,0007CB239E,30,2,4,0.359201862921123,0.149034601506876,-0.210167261414247
Figure_S9A,45-50,Rank,g_delta_C,0007CB4123,31,2,3,0.322162437751796,0.188956550787102,-0.133205886964694
Figure_S9A,45-50,Rank,g_delta_C,0007CB42F2,32,2,8,0.219139732490358,0.0860858945658581,-0.1330538379245
Figure_S9A,45-50,Rank,g_delta_C,0007CB08A5,33,1,12,0.24225762322032,0.178693598903145,-0.0635640243171749
Figure_S9A,45-50,Rank,g_delta_C,0007CB6EA3,34,1,6,0.0635269027647331,0,-0.0635269027647331
Figure_S9A,45-50,Rank,g_delta_C,0007CB0ABC,35,1,7,0.230956553422393,0.0621003123675833,-0.16885624105481
Figure_S9A,45-50,Rank,g_delta_C,0007CB1EC1,36,1,11,0.20454666981012,0.136509118343911,-0.0680375514662095
Figure_S9A,45-50,Rank,g_delta_C,0007CA3A35,37,2,1,0.138333550177439,0.0134569442713679,-0.124876605906071
Figure_S9A,45-50,Rank,g_delta_C,0007CB330D,38,2,7,0.131507811059698,0.0797565988373033,-0.0517512122223947
Figure_S9A,45-50,Rank,g_delta_C,0007CB2144,39,3,9,0.138009429012619,0.000629861623007208,-0.137379567389612
Figure_S9A,45-50,Rank,g_delta_C,0007CB0D91,40,2,11,0.0151453057581502,0.0718508665155686,0.0567055607574184
Figure_S9A,45-50,Rank,g_delta_L,0007CA3BEA,11,3,8,0.369081790437987,0.66065542641916,0.291573635981172
Figure_S9A,45-50,Rank,g_delta_L,0007CB2246,12,3,10,0.322270370084946,0.39557519770944,0.0733048276244939
Figure_S9A,45-50,Rank,g_delta_L,0007CB2584,13,3,3,0.391161346253863,0.901101193103159,0.509939846849297
Figure_S9A,45-50,Rank,g_delta_L,0007CB2275,14,3,2,0.28831952938988,0.549222117814858,0.260902588424977
Figure_S9A,45-50,Rank,g_delta_L,0007CB39B0,17,3,11,0.385824042441657,0.524753062724406,0.138929020282749
Figure_S9A,45-50,Rank,g_delta_L,0007CA3D87,18,3,5,0.351933568267428,0.582297059041677,0.230363490774249
Figure_S9A,45-50,Rank,g_delta_L,0007CB3395,19,3,4,0.53458480307542,0.734187304050976,0.199602500975556
Figure_S9A,45-50,Rank,g_delta_L,0007CB6A8C,22,3,6,0.440795546292498,0.538090108176693,0.0972945618841951
Figure_S9A,45-50,Rank,g_delta_L,0007CB6B2C,23,3,1,0.41359929960013,0.528535642503689,0.114936342903558
Figure_S9A,45-50,Rank,g_delta_L,0007CB24AD,24,3,7,0.501592817717351,0.532343341525609,0.0307505238082583
Figure_S9A,45-50,Rank,g_delta_L,0007CB24DA,25,3,12,0.508638103433345,0.504964312851246,-0.00367379058209916
Figure_S9A,45-50,Rank,g_delta_L,0007CA38FF,26,1,3,0.334411698067923,0.571752317643309,0.237340619575386
Figure_S9A,45-50,Rank,g_delta_L,0007CB357C,27,1,4,0.363764411343116,0.654676407957263,0.290911996614147
Figure_S9A,45-50,Rank,g_delta_L,0007CB239E,30,2,4,0.298416853490446,0.466448371564056,0.16803151807361
Figure_S9A,45-50,Rank,g_delta_L,0007CB4123,31,2,3,0.313418300261448,0.456002412464395,0.142584112202947
Figure_S9A,45-50,Rank,g_delta_L,0007CB42F2,32,2,8,0.466904027972596,0.42021549168086,-0.0466885362917362
Figure_S9A,45-50,Rank,g_delta_L,0007CB08A5,33,1,12,0.302030695868734,0.409851855001695,0.107821159132961
Figure_S9A,45-50,Rank,g_delta_L,0007CB6EA3,34,1,6,0.395990570963633,0.731203769028399,0.335213198064766
Figure_S9A,45-50,Rank,g_delta_L,0007CB0ABC,35,1,7,0.337663386525989,0.472113962284096,0.134450575758108
Figure_S9A,45-50,Rank,g_delta_L,0007CB1EC1,36,1,11,0.349672664556342,0.464636449996193,0.114963785439852
Figure_S9A,45-50,Rank,g_delta_L,0007CA3A35,37,2,1,0.565067115344591,0.638369618419359,0.0733025030747683
Figure_S9A,45-50,Rank,g_delta_L,0007CB330D,38,2,7,0.471334582005283,0.544820476627684,0.0734858946224006
Figure_S9A,45-50,Rank,g_delta_L,0007CB2144,39,3,9,0.385717882903566,0.580769057036419,0.195051174132853
Figure_S9A,45-50,Rank,g_delta_L,0007CB0D91,40,2,11,0.787125677698679,0.685768700329556,-0.101356977369123
Figure_S9A,45-50,Rank,g_swp,0007CA3BEA,11,3,8,0.684894137336046,0.532673267065358,-0.152220870270688
Figure_S9A,45-50,Rank,g_swp,0007CB2246,12,3,10,0.713047056846794,0.709828172199887,-0.00321888464690712
Figure_S9A,45-50,Rank,g_swp,0007CB2584,13,3,3,0.652161246251827,0.360822652944607,-0.291338593307219
Figure_S9A,45-50,Rank,g_swp,0007CB2275,14,3,2,0.700445721962296,0.598499310546407,-0.101946411415888
Figure_S9A,45-50,Rank,g_swp,0007CB39B0,17,3,11,0.724009354814936,0.62656973784195,-0.0974396169729853
Figure_S9A,45-50,Rank,g_swp,0007CA3D87,18,3,5,0.686660693216847,0.588241258831109,-0.0984194343857373
Figure_S9A,45-50,Rank,g_swp,0007CB3395,19,3,4,0.607727962168228,0.480847736382659,-0.12688022578557
Figure_S9A,45-50,Rank,g_swp,0007CB6A8C,22,3,6,0.682462120785913,0.613813494981747,-0.0686486258041654
Figure_S9A,45-50,Rank,g_swp,0007CB6B2C,23,3,1,0.700114680863171,0.626215548457024,-0.0738991324061464
Figure_S9A,45-50,Rank,g_swp,0007CB24AD,24,3,7,0.645318054113175,0.622890707370468,-0.0224273467427071
Figure_S9A,45-50,Rank,g_swp,0007CB24DA,25,3,12,0.640338547892417,0.640021858623984,-0.000316689268433312
Figure_S9A,45-50,Rank,g_swp,0007CA38FF,26,1,3,0.746514305495357,0.593460623551911,-0.153053681943446
Figure_S9A,45-50,Rank,g_swp,0007CB357C,27,1,4,0.702725907394957,0.537073872450569,-0.165652034944388
Figure_S9A,45-50,Rank,g_swp,0007CB239E,30,2,4,0.669768181030952,0.653507058225135,-0.0162611228058172
Figure_S9A,45-50,Rank,g_swp,0007CB4123,31,2,3,0.68215670718398,0.650953688742029,-0.0312030184419513
Figure_S9A,45-50,Rank,g_swp,0007CB42F2,32,2,8,0.635270954287022,0.696642430928677,0.0613714766416558
Figure_S9A,45-50,Rank,g_swp,0007CB08A5,33,1,12,0.725967912543888,0.683406517309694,-0.0425613952341943
Figure_S9A,45-50,Rank,g_swp,0007CB6EA3,34,1,6,0.716181470546025,0.482960856490857,-0.233220614055167
Figure_S9A,45-50,Rank,g_swp,0007CB0ABC,35,1,7,0.710725076873208,0.663071892760121,-0.0476531841130869
Figure_S9A,45-50,Rank,g_swp,0007CB1EC1,36,1,11,0.713436379355277,0.657538901286136,-0.0558974780691408
Figure_S9A,45-50,Rank,g_swp,0007CA3A35,37,2,1,0.587462339253307,0.548376366534343,-0.039085972718965
Figure_S9A,45-50,Rank,g_swp,0007CB330D,38,2,7,0.653865148498225,0.610032430652132,-0.0438327178460926
Figure_S9A,45-50,Rank,g_swp,0007CB2144,39,3,9,0.710078913613744,0.589332786428787,-0.120746127184957
Figure_S9A,45-50,Rank,g_swp,0007CB0D91,40,2,11,0.443103178000964,0.512194796376219,0.0690916183752546
