Panel,SparsityRange,Predictor,Metric,Phase,PearsonR,RawP,FDR_Q_across_3_metrics
Figure_S9A,45-50,Rank,g_delta_C,PRE,-0.315711389496978,0.13288052168363,0.398641565050891
Figure_S9A,45-50,Rank,g_delta_C,TEST,0.188443357830125,0.377865592034698,0.377865592034698
Figure_S9A,45-50,Rank,g_delta_C,TEST_minus_PRE,0.484757737254462,0.016360889474204,0.0360790136475836
Figure_S9A,45-50,Rank,g_delta_L,PRE,0.162640248850247,0.447664849921519,0.671497274882279
Figure_S9A,45-50,Rank,g_delta_L,TEST,-0.353328569775879,0.0903270824990346,0.135490623748552
Figure_S9A,45-50,Rank,g_delta_L,TEST_minus_PRE,-0.459022254472198,0.0240526757650557,0.0360790136475836
Figure_S9A,45-50,Rank,g_swp,PRE,-0.0575349670877458,0.789440863380836,0.789440863380836
Figure_S9A,45-50,Rank,g_swp,TEST,0.358065469053969,0.0857954483470008,0.135490623748552
Figure_S9A,45-50,Rank,g_swp,TEST_minus_PRE,0.386722298725519,0.0619305573940556,0.0619305573940556
