AnimalID,AnimalNumber,NoSeMaze,ScanDayGroup,SocialRank
0007CB6B2C,23,2,3,1
0007CA3A35,37,1,2,1
0007CB2275,14,2,3,2
0007CB2584,13,2,3,3
0007CA38FF,26,1,1,3
0007CB4123,31,1,2,3
0007CB3395,19,2,3,4
0007CB357C,27,1,1,4
0007CB239E,30,1,2,4
0007CA3D87,18,2,3,5
0007CB6A8C,22,2,3,6
0007CB6EA3,34,1,1,6
0007CB24AD,24,2,3,7
0007CB0ABC,35,1,1,7
0007CB330D,38,1,2,7
0007CA3BEA,11,2,3,8
0007CB42F2,32,1,2,8
0007CB2144,39,2,3,9
0007CB2246,12,2,3,10
0007CB39B0,17,2,3,11
0007CB1EC1,36,1,1,11
0007CB0D91,40,1,2,11
0007CB24DA,25,2,3,12
0007CB08A5,33,1,1,12
