Comparison,Parametric_P,Permutation_P_Raw,Permutation_FDR_Q,FDR_Significant,NumberOfPermutations,RandomSeed
Conditioning_PRE_vs_TEST,8.72600561340364e-06,0,0,1,10000,1234
Delta_Conditioning_vs_Control,0.00947633664709309,0.0094,0.0282,1,10000,1234
