SubjectIndex,Nothing,AFNI,WD10_AFNI
1,0.793806701240536,0.747777093072178,0.117028685668863
2,0.806476714977239,0.725014374591728,0.0405480764665582
3,0.758516109695528,0.695650667873315,0.235123558160592
4,0.766777590675628,0.704473462938804,0.156282463571028
5,0.693306157488931,0.643524711408153,0.169836116372524
6,0.769043581387607,0.717965051373303,0.146481732044911
7,0.759317872949335,0.689656210501593,0.199216790236927
8,0.719120724647577,0.705298097786852,0.269429903749819
9,0.811924390068302,0.770057723848263,0.201408124458079
10,0.748640221839645,0.682466453445424,0.174622191682772
11,0.741120264877288,0.717392328109691,0.307541821213623
12,0.763418449641716,0.773081853984027,0.267277408608961
13,0.708521194761395,0.651604572276226,0.233594328289751
14,0.786353627603598,0.728627032601351,0.312742692489117
15,0.719543020013381,0.626908724911123,0.165817368107191
16,0.773959529501377,0.731545855812608,0.130425612282293
17,0.677332145896372,0.627431126492681,0.0973776313508418
18,0.719446611070088,0.690927736211436,0.127649804799241
19,0.694409003658259,0.641355055793367,0.120327143357508
20,0.74164610224724,0.685864230165688,0.164144533351472
21,0.716735764628477,0.643893576076541,0.100328974785479
22,0.750493611820874,0.690198288780178,0.11768347850348
23,0.716211628971098,0.7025591013008,0.184463393898052
24,0.74891395768958,0.712635550429978,0.028747075682187
