Pipeline,MeanCorrelation,SD,SEM,Minimum,Maximum,NTotal,NNonNaN
Nothing,0.745209790722961,0.0359904341773826,0.00734651661298433,0.677332145896372,0.811924390068302,24,24
AFNI,0.696079536657721,0.0411685560082846,0.00840349630562398,0.626908724911123,0.773081853984027,24,24
WD10_AFNI,0.169504121213803,0.0745985978812876,0.0152273750280184,0.028747075682187,0.312742692489117,24,24
