Panel,SparsityRange,Predictor,Metric,AnimalID,AnimalNumber,ScanDay,PredictorValue,Pre,Test,TestMinusPre
Figure_S9B,10-50,Rank,g_delta_L,0007CA3A35,37,2,1,0.383803305389843,0.50940605956638,0.125602754176537
Figure_S9B,10-50,Rank,g_delta_L,0007CB330D,38,2,7,0.455685614389519,0.474341145275932,0.0186555308864128
Figure_S9B,10-50,Rank,g_delta_L,0007CB2144,39,3,9,0.436246201185621,0.537128778194375,0.100882577008754
Figure_S9B,10-50,Rank,g_delta_L,0007CB0D91,40,2,11,0.709949294689316,0.742915046014193,0.0329657513248767
Figure_S9B,10-50,Rank,g_swp,0007CA3BEA,11,3,8,0.680978749836614,0.484990168185187,-0.195988581651426
Figure_S9B,10-50,Rank,g_swp,0007CB2246,12,3,10,0.716193467537878,0.68201064102973,-0.0341828265081476
Figure_S9B,10-50,Rank,g_swp,0007CB2584,13,3,3,0.631243762450616,0.484140981526972,-0.147102780923645
Figure_S9B,10-50,Rank,g_swp,0007CB2275,14,3,2,0.729772822706863,0.605883552023958,-0.123889270682906
Figure_S9B,10-50,Rank,g_swp,0007CB39B0,17,3,11,0.695922315725747,0.671177128820254,-0.0247451869054934
Figure_S9B,10-50,Rank,g_swp,0007CA3D87,18,3,5,0.692961580812483,0.623768736893686,-0.0691928439187969
Figure_S9B,10-50,Rank,g_swp,0007CB3395,19,3,4,0.629331706441602,0.352280085096096,-0.277051621345506
Figure_S9B,10-50,Rank,g_swp,0007CB6A8C,22,3,6,0.675795108195381,0.665752322911565,-0.0100427852838161
Figure_S9B,10-50,Rank,g_swp,0007CB6B2C,23,3,1,0.749271881522842,0.685493774293545,-0.0637781072292967
Figure_S9B,10-50,Rank,g_swp,0007CB24AD,24,3,7,0.619033439387447,0.61919942918868,0.000165989801232502
Figure_S9B,10-50,Rank,g_swp,0007CB24DA,25,3,12,0.642995470261747,0.657199724098417,0.01420425383667
Figure_S9B,10-50,Rank,g_swp,0007CA38FF,26,1,3,0.750452570390542,0.661418760764876,-0.0890338096256661
Figure_S9B,10-50,Rank,g_swp,0007CB357C,27,1,4,0.720985010073756,0.554748183266178,-0.166236826807578
Figure_S9B,10-50,Rank,g_swp,0007CB239E,30,2,4,0.700484189595045,0.655442331957663,-0.045041857637382
Figure_S9B,10-50,Rank,g_swp,0007CB4123,31,2,3,0.685531482985961,0.559820568160973,-0.125710914824988
Figure_S9B,10-50,Rank,g_swp,0007CB42F2,32,2,8,0.617961262597668,0.694807955531126,0.0768466929334578
Figure_S9B,10-50,Rank,g_swp,0007CB08A5,33,1,12,0.742709743796264,0.677603687387842,-0.0651060564084222
Figure_S9B,10-50,Rank,g_swp,0007CB6EA3,34,1,6,0.714483179137842,0.629703779489284,-0.084779399648558
Figure_S9B,10-50,Rank,g_swp,0007CB0ABC,35,1,7,0.712334299053072,0.67937321342427,-0.0329610856288028
Figure_S9B,10-50,Rank,g_swp,0007CB1EC1,36,1,11,0.672510626789597,0.605471584294145,-0.0670390424954529
Figure_S9B,10-50,Rank,g_swp,0007CA3A35,37,2,1,0.649548082327181,0.609991932248805,-0.0395561500783754
Figure_S9B,10-50,Rank,g_swp,0007CB330D,38,2,7,0.636708606448953,0.628067531059127,-0.0086410753898255
Figure_S9B,10-50,Rank,g_swp,0007CB2144,39,3,9,0.66511754917265,0.609922020397575,-0.0551955287750742
Figure_S9B,10-50,Rank,g_swp,0007CB0D91,40,2,11,0.464465475061541,0.449023329196495,-0.0154421458650453
