Region,T_Raw_ConditioningVsControl,T_Plotted_Negated,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom,N_Conditioning,N_Control,MeanDelta_Conditioning,MeanDelta_Control
FP,0.338249466262056,-0.338249466262056,0.736714200397754,0,0,46,24,24,0.0233917016887941,0.0116373509815565
OF,0.221340354303045,-0.221340354303045,0.825807058333423,0,0,46,24,24,0.0286519334717851,0.0229269541577648
PL,0.916495422869945,-0.916495422869945,0.364187169547439,0,0,46,24,24,0.047623788633797,0.0225866698612226
IL,0.837784139528172,-0.837784139528172,0.406483967985161,0,0,46,24,24,0.0404780719376702,0.0192910232318303
Cing,0.817295992908829,-0.817295992908829,0.417972387211335,0,0,46,24,24,0.0418925254698106,0.0222836143726152
Th_PM,0.794373671735369,-0.794373671735369,0.431057235526219,0,0,46,24,24,0.0165019233415445,-0.00191885997051719
Th_SM,0.386408226175835,-0.386408226175835,0.700976003188051,0,0,46,24,24,0.0227610874970623,0.0134991083492581
M1,-1.34760111277482,1.34760111277482,0.184386856977801,0,0,46,24,24,-0.0265375221208749,0.00667090896942495
M2,-0.948715766564705,0.948715766564705,0.347723001543101,0,0,46,24,24,0.00483470281660051,0.0280212224583638
S1,-0.928496585600164,0.928496585600164,0.357996766169821,0,0,46,24,24,-0.00936789739013388,0.0104495998786137
S2,-2.40058987311907,2.40058987311907,0.0204705615571108,1,0,46,24,24,-0.026444834592776,0.0269365749223474
OB,-0.792146132986116,0.792146132986116,0.43234174897645,0,0,46,24,24,0.0263196879156049,0.0486545168508012
AON,-0.0120102532727798,0.0120102532727798,0.990469373516549,0,0,46,24,24,0.0385870744103691,0.0389643127760069
Otu,-0.881851454949966,0.881851454949966,0.382442069095974,0,0,46,24,24,-0.0316583712989963,0.00497854159037707
Pir,-1.28905132118722,1.28905132118722,0.203825075343602,0,0,46,24,24,-0.03997370556814,-0.00536930511391796
DPA,0.355362010494168,-0.355362010494168,0.723942766217269,0,0,46,24,24,0.0426364666197539,0.03316503581044
TT,0.61466026832521,-0.61466026832521,0.541807726911591,0,0,46,24,24,0.0478850641457097,0.0308463743257409
Sept,1.52101610739364,-1.52101610739364,0.135100613421235,0,0,46,24,24,0.0494006137929615,0.0146072535852798
Nacc,-0.0678558260201443,0.0678558260201443,0.946194498198648,0,0,46,24,24,0.01562892844664,0.0172261146735654
CP,0.610240523751875,-0.610240523751875,0.544705689367627,0,0,46,24,24,0.0161722404714382,0.00338462978655048
Pall,0.428382830044308,-0.428382830044308,0.670371704095354,0,0,46,24,24,0.0353112967636458,0.0275121698720139
VP,0.654057895349194,-0.654057895349194,0.516331227067328,0,0,46,24,24,0.0158094012654708,-0.000716148527213918
Cl,0.723746322272196,-0.723746322272196,0.472886179421214,0,0,46,24,24,0.012164956995055,-0.00818700382509569
Amyg,-0.713579516721379,0.713579516721379,0.479092191620773,0,0,46,24,24,-0.039491556258626,-0.0205025432057143
ZI,-0.117106066650537,0.117106066650537,0.907285819593938,0,0,46,24,24,0.00221274694082895,0.00545336972660089
I_dors,-0.00030423549661115,0.00030423549661115,0.999758570781694,0,0,46,24,24,0.00337024850109241,0.00337797157819758
I_ventr,0.680139022124917,-0.680139022124917,0.499825352677827,0,0,46,24,24,0.0153472026173132,-0.00178404851436523
I_post,-1.73497917108398,1.73497917108398,0.0894408734847768,0,0,46,24,24,-0.0349658138894888,0.00988683661363862
Gust,-0.549551718277327,0.549551718277327,0.58528519616918,0,0,46,24,24,-0.00230637374342298,0.0148145572045463
Visc,-0.446308242766476,0.446308242766476,0.657468562159084,0,0,46,24,24,0.00858571558608227,0.0217986386810558
Perih,-0.980910889977535,0.980910889977535,0.331767793206093,0,0,46,24,24,0.0115092228428557,0.0385138058411345
Ect,-1.54015578066095,1.54015578066095,0.130373918528824,0,0,46,24,24,-0.0221534257149736,0.0160368191610707
Ent,-0.885460050689448,0.885460050689448,0.380513979637453,0,0,46,24,24,-0.001456671000659,0.0338318788727133
Temp,0.151452751013005,-0.151452751013005,0.880280850760938,0,0,46,24,24,0.0129960931970933,0.00956574726981194
ParAss,-0.071464062257973,0.071464062257973,0.943338235705584,0,0,46,24,24,0.00446166311215371,0.00652371230968243
RS,0.0533216627822767,-0.0533216627822767,0.957706521270092,0,0,46,24,24,0.0110509014532005,0.00970671195432752
CA,-0.950202869790851,0.950202869790851,0.34697509424485,0,0,46,24,24,0.00695098268676282,0.029957635872021
DG,0.157226111426939,-0.157226111426939,0.875754748618416,0,0,46,24,24,0.0177395992846905,0.0133303824561246
Sub,-0.324928824886449,0.324928824886449,0.746708138030327,0,0,46,24,24,0.0196951878942429,0.0286799219640201
SC,0.65167717331583,-0.65167717331583,0.51785232077513,0,0,46,24,24,0.0318792911638118,0.0125338839396608
PAG,-1.16883636418268,1.16883636418268,0.248491198097473,0,0,46,24,24,0.00399050316948732,0.0354092189448382
VTA,0.102253669742265,-0.102253669742265,0.91899978194551,0,0,46,24,24,0.0446738976795278,0.0417040694380571
SN,-0.527343652033767,0.527343652033767,0.60048930768238,0,0,46,24,24,-0.0117415159327255,0.010559572459371
NclR,0.0232505429643898,-0.0232505429643898,0.98155098973734,0,0,46,24,24,0.0174561771820603,0.0167819715935999
RN,-0.0473945594881732,0.0473945594881732,0.962403938879698,0,0,46,24,24,0.0234282109174817,0.0250320547833037
MB,-0.533691673345512,0.533691673345512,0.596124515346757,0,0,46,24,24,0.0231841567477019,0.0374349720885902
Pons,-1.20080664611041,1.20080664611041,0.235973222244788,0,0,46,24,24,0.0254917787417433,0.0752893432800189
Periv,0.693106706192069,-0.693106706192069,0.491727434094557,0,0,46,24,24,0.0260931972952408,-0.00259204620821258
Hyp,-1.65504510858081,1.65504510858081,0.104723380347198,0,0,46,24,24,-0.0290067076806055,0.0116139875974124
Aud,-0.390583369122515,0.390583369122515,0.697908256052,0,0,46,24,24,-0.00196111175378831,0.00709613551911552
V,-1.93639942366423,1.93639942366423,0.0589764546320151,0,0,46,24,24,-0.0144883220435175,0.0421591208229478
IC,-1.68491893967368,1.68491893967368,0.0987780448497453,0,0,46,24,24,-0.00512086109902162,0.0490910581516016
