,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
FP,1,0.40085151237349,0.277278277090963,0.212175022508112,0.165622767253188,0.215278461936522,0.208115937788715,0.177978100309455,0.304275368687295,0.186618656979395,0.179383969794998,0.212629955574462,0.00378562798651618,0.174559907892351,0.324378364565958,0.204804234763843,0.187083037615895,0.107915726466233,0.174593681068673,0.285787017111576,0.120581595796305,0.211529656290912,0.266343073999361,0.296540731580096,0.180413865712266,0.215779998608303,0.250395798331531,0.25623843626446,0.252956566800626,0.269884605425871,0.291334321323577,0.223482229956482,0.125196518509943,0.194408233017328,0.0015557165205632,0.192068891215904,0.0742737935289938,0.120212819976357,0.0557130834358953,0.143408462061532,0.0584749817451116,0.109193190182676,0.00305253607267328,-0.0122707691126421,-0.00191911646849446,0.058055535477294,-0.0821846788107931,0.0592797932069512,0.214894490053466,0.071158863194683,0.107764165712876,0.277400585018208
OF,0.40085151237349,1,0.766439762775722,0.791390816708186,0.608826939507216,0.457302923006118,0.36787299625047,0.134221134964973,0.483332766981176,0.1624362191062,0.00705787626084248,0.619839822681957,0.442658440462782,-0.0543265216579984,0.133130472331831,0.709158169454943,0.711015464020907,0.48335566716965,0.444925077429859,0.475732634597757,0.368679785872861,0.180425042379261,0.227457311125859,0.0488214795967541,0.214590169788452,0.284282704013913,0.300902697949438,0.0685291516879248,0.0986837926680029,-0.000893748551682378,0.142015810673338,0.157597727101718,0.111937149084107,0.137770490909579,0.10957442237742,0.276740570889954,0.182710063266763,0.219133754839129,0.159431819923405,0.221232482096588,0.229443883975052,0.243881723996734,0.0325699645241012,0.136141348585134,0.155032381604511,0.249024342574461,0.0865278301932673,0.101985459113471,0.114096466099404,0.162296420535369,0.174070289593233,0.19689867779539
PL,0.277278277090963,0.766439762775722,1,0.847053421926913,0.746228719434941,0.445040127816942,0.355974031936463,0.112200280328389,0.536191670878349,0.156858838500215,0.00621038030632042,0.562907145311483,0.4152855300863,-0.162310193167772,-0.00694037251472181,0.67512702025438,0.691128100394077,0.462640095602324,0.342410150472196,0.384797099215341,0.348120114734753,0.10631642704636,0.0847706645950152,0.0168786528485309,0.219610660044423,0.0155679145025161,0.0468004969631588,0.00765039776514402,-0.0701138926812857,-0.0650052968184272,0.11936474579109,0.168103729981761,0.13632197546245,0.137231068565814,0.10496486053618,0.260723837159248,0.173707123807826,0.167273725053251,0.134634296095356,0.178545969610293,0.202523042479579,0.202339070131209,0.022993612598849,0.103772688141223,0.14740902841484,0.218444703026428,0.0915542644905274,0.135370362229082,0.100777420167385,0.160773827274255,0.118574176561498,0.112381605035713
IL,0.212175022508112,0.791390816708186,0.847053421926913,1,0.736804810466856,0.471890567093794,0.36620737547999,0.118722143151465,0.410934959700216,0.141100068900908,-0.0490856780059555,0.606222638704403,0.535152864845544,-0.143452647741593,-0.0652313252020235,0.808294273465168,0.808768917043885,0.597536744971912,0.448901920432268,0.404294078172113,0.430220193527166,0.108513197523206,0.105561933996309,-0.109085446396676,0.180817361402381,0.100948868271991,0.12613474585833,-0.0273371875342845,-0.0218842228609992,-0.136175856746322,0.0208748224305379,0.0727788611633196,0.0707229856966215,0.0969569122187303,0.114606586922973,0.268480781507422,0.194791635695911,0.218260419776063,0.173420101399711,0.205114372853057,0.253899490216147,0.192112486413178,0.00889757619329217,0.146227260337068,0.158091397043848,0.284690155167327,0.129254035555422,0.113904082312705,0.0403687531452366,0.187891855747226,0.145479283732754,0.106569904380692
Cing,0.165622767253188,0.608826939507216,0.746228719434941,0.736804810466856,1,0.610405864596185,0.508358597017556,0.267973753067206,0.583935997059534,0.291918110087747,0.0203100176798728,0.456239391005611,0.412383765241245,-0.0736418867980462,-0.0060913554317168,0.580583344899601,0.60941453730665,0.547849826314062,0.380013398923155,0.485609384363591,0.44316886175246,0.14664302555444,0.0894559125712012,-0.0235116377671479,0.307598453127016,0.165104664564933,0.133824958544122,0.0368715151634359,0.0211606649509965,-0.0551065741093166,0.0630128034360673,0.150966750142382,0.0578353227793839,0.190573888853611,0.258257679440241,0.444970322751218,0.299337496282748,0.316118588060173,0.217739624075049,0.268999796443697,0.285646868077801,0.287508582727567,-0.0274122459666442,0.0927348313746911,0.154650243309861,0.298574354919052,0.069579373250532,0.149483748538564,0.144425268257616,0.30310715990757,0.235336887765504,0.157491614191819
Th_PM,0.215278461936522,0.457302923006118,0.445040127816942,0.471890567093794,0.610405864596185,1,0.855791449977589,0.299524066328686,0.387302059103209,0.431593252438077,0.163186189719778,0.381183104971813,0.25461624685798,0.0681555530193402,0.158660832244555,0.373644202267871,0.419252356642994,0.461349784918752,0.33743741982148,0.514232619947984,0.490424135381093,0.230366674150635,0.169238007366288,0.152917573057998,0.553569029505081,0.288685072533206,0.246096529465176,0.0989163825395581,0.119227664519566,0.0836244651301355,0.183366355185586,0.247578192820619,0.0164863534610762,0.324159131204148,0.385673068763768,0.596599231858983,0.42180130048581,0.477180327731031,0.272138862861679,0.471038243087514,0.405177926991748,0.445652006289634,-0.0173986669164634,0.109382142062149,0.209833375746684,0.389142784913049,-0.0482012297054267,0.155377931074602,0.332869113657502,0.45794112100533,0.436035397117826,0.375096137938896
Th_SM,0.208115937788715,0.36787299625047,0.355974031936463,0.36620737547999,0.508358597017556,0.855791449977589,1,0.288634146038978,0.395307866355419,0.396896382769823,0.158931571053797,0.308823211055252,0.186760908213517,0.112188142051967,0.210765160015391,0.275587287420527,0.311692684133017,0.377454726861693,0.255702466013632,0.446601756178771,0.437136476912483,0.201088727389607,0.144381420067103,0.273009116784242,0.668692131695228,0.251603654770927,0.222774204159943,0.0802581976256442,0.126040104586588,0.0947409446251781,0.242557413014546,0.281964229515082,0.0556350550031062,0.348241951412238,0.331715218708442,0.553742842641932,0.408785945624821,0.444081803154613,0.232958974913809,0.420290857800667,0.344485146511044,0.446550470827938,0.0497275687220904,0.0846175639546423,0.169262453792218,0.328252972407375,-0.109122608712065,0.185582270253812,0.435024565063023,0.431969684626668,0.425948867307002,0.336410026615059
M1,0.177978100309455,0.134221134964973,0.112200280328389,0.118722143151465,0.267973753067206,0.299524066328686,0.288634146038978,1,0.603753763336403,0.654826535900263,0.523247881165041,0.0789919250306237,0.0121537086466062,0.0481570392437537,0.0832107140573036,0.0749621835710941,0.0529701313792426,0.225257797513479,0.10638423130521,0.37604364045297,0.172414040447639,0.109885465627086,0.155433400496741,0.0778788354418588,0.134023687948527,0.292205183092159,0.170795221644437,0.102053810417053,0.493110350163754,0.259149865393411,0.144827962328475,0.209012068668901,0.0690922182225858,0.216426044370132,0.182299308579899,0.232071658635619,0.120871815383206,0.183289680805754,0.0954066721152747,0.147414613111231,0.106861172720266,0.125475268707941,0.0818836035129273,0.132424707834708,0.174826371116908,0.236979681110624,0.111500466366964,0.0332454859855794,0.104640314191528,0.240904734641407,0.257431621538876,0.220275258440248
M2,0.304275368687295,0.483332766981176,0.536191670878349,0.410934959700216,0.583935997059534,0.387302059103209,0.395307866355419,0.603753763336403,1,0.505393119910909,0.305609185664116,0.336675764106247,0.160096170528519,0.0426326663109576,0.173346216398522,0.321580890766722,0.309813027641413,0.277531682541704,0.207127618882961,0.383757955819816,0.241616434861498,0.154338736093579,0.172527118668144,0.212590228817973,0.296367312935917,0.191511074560066,0.154455753337831,0.14052799724151,0.186285382918915,0.157874339028402,0.272754525916241,0.316295401676096,0.217999848022825,0.30501253604366,0.208626696211581,0.321721772255951,0.251660454507975,0.25255035660988,0.161382207115325,0.173721586580538,0.119384336583184,0.240335327119568,0.130644783799324,0.139767956806746,0.179371542743279,0.235939484245565,0.0939400845292261,0.12224877708996,0.259960816159824,0.273219868377947,0.213382998255952,0.158161243616728
S1,0.186618656979395,0.1624362191062,0.156858838500215,0.141100068900908,0.291918110087747,0.431593252438077,0.396896382769823,0.654826535900263,0.505393119910909,1,0.658298891686396,0.128839565116758,-0.0487304857693416,0.0553507061864993,0.149539767433085,0.084571218461989,0.0829798857237831,0.218375361328593,0.124286617809315,0.456107200563731,0.216111338665459,0.157536441356853,0.275627137251971,0.132068113306687,0.212147634243903,0.215770923776404,0.146152287490217,0.26681587003423,0.40624650111929,0.366670526246877,0.207041413103533,0.240895434405051,0.0907321953215743,0.287095077591516,0.348201676684519,0.41066068987469,0.258489834867674,0.325027299671621,0.205679059188782,0.299556411552692,0.221541797364162,0.216348202499678,0.122639931237905,0.194041309473884,0.228430644352331,0.341636314042206,0.0622317883035595,0.0435841903549057,0.170751868679418,0.36880585420771,0.345409257262014,0.273369154199679
