Region,T_TEST_minus_PRE,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom
FP,0.211324300292518,0.834495498947167,0,0,23
OF,0.739226322573956,0.467247572571134,0,0,23
PL,-0.557010259935509,0.582900749731793,0,0,23
IL,-0.242733613384764,0.810363344368863,0,0,23
Cing,0.975077998148852,0.339666261654697,0,0,23
Th_PM,2.86177338305677,0.00881989171289346,1,0,23
Th_SM,1.98301198647434,0.0594319878187094,0,0,23
M1,-0.904244032495219,0.375240413987682,0,0,23
M2,-1.17924679217147,0.250355047590154,0,0,23
S1,3.02088315473463,0.00608429146888903,1,0,23
S2,1.94770768815665,0.0637576598092151,0,0,23
OB,0.551707812955249,0.586469566606682,0,0,23
AON,0.052589702542596,0.958512924167808,0,0,23
Otu,-0.254927188514093,0.801045001643624,0,0,23
Pir,1.19619922039313,0.243805222991952,0,0,23
DPA,1.11516790647895,0.276295408539082,0,0,23
TT,0.319523349369082,0.752213877101511,0,0,23
Sept,0.0686187846553034,0.945886144217762,0,0,23
Nacc,2.18696136527414,0.0391741710048496,1,0,23
CP,1.92456801616806,0.066741095546341,0,0,23
Pall,1.02064206897002,0.318040369707097,0,0,23
VP,1.56313838925926,0.13167589139866,0,0,23
Cl,1.23380812676412,0.229734228151853,0,0,23
Amyg,-0.336717949562111,0.739382601142293,0,0,23
ZI,0.969058814838414,0.342596699693964,0,0,23
I_dors,1.69621280187591,0.103341064959425,0,0,23
I_ventr,1.0483396244632,0.305374109367018,0,0,23
I_post,-0.305705246524788,0.762578872784921,0,0,23
Gust,0.167056190946061,0.868785895824189,0,0,23
Visc,-0.600184533021262,0.554251393465737,0,0,23
Perih,-0.357170522356552,0.724220523667061,0,0,23
Ect,-1.2120516123883,0.237797314352287,0,0,23
Ent,-2.724622132324,0.012083479092003,1,0,23
Temp,-0.747683738624921,0.462227636962326,0,0,23
ParAss,1.46995551604684,0.155121716045261,0,0,23
RS,0.667820358228472,0.510894495418976,0,0,23
CA,-0.465054618354918,0.646265316489412,0,0,23
DG,-0.338176906585461,0.738297362421709,0,0,23
Sub,-0.196211642876393,0.846167838267449,0,0,23
SC,-0.432755793562889,0.669223116078214,0,0,23
PAG,-0.353899724711106,0.726637714373483,0,0,23
VTA,0.398620916900762,0.693849138905902,0,0,23
SN,-0.212429759091774,0.833643181405324,0,0,23
NclR,-0.0141674710463945,0.988818549973121,0,0,23
RN,1.02596703194563,0.315577123519848,0,0,23
MB,0.984245404673489,0.335236126570147,0,0,23
Pons,-0.589620953052408,0.561192836881211,0,0,23
Periv,0.236333092611667,0.815266220747402,0,0,23
Hyp,0.412599552873172,0.683720823808674,0,0,23
Aud,0.809214123223763,0.426684445152796,0,0,23
V,1.06504185999033,0.297910675984359,0,0,23
IC,-0.700417497955796,0.490691865765944,0,0,23
