Region,T_TEST_minus_PRE,P,P_LessThan_0_05,FDR_Significant,DegreesOfFreedom
FP,1.56606300111286,0.130990111709624,0,0,23
OF,1.24472543929435,0.225767127980905,0,0,23
PL,2.24609899614716,0.0345997709208629,1,0,23
IL,1.36630589268001,0.185053567242043,0,0,23
Cing,1.35640834808067,0.188135880242488,0,0,23
Th_PM,1.62117964323624,0.118609428175987,0,0,23
Th_SM,1.10797101336702,0.279326910795052,0,0,23
M1,1.28409688025967,0.211893125724669,0,0,23
M2,1.40190525710052,0.17429555361044,0,0,23
S1,1.51580387251018,0.143193120399353,0,0,23
S2,0.872086498984146,0.392174293630683,0,0,23
OB,1.31800044814778,0.200480451701562,0,0,23
AON,1.37105362269786,0.183589221005828,0,0,23
Otu,1.50304658513746,0.146434496411376,0,0,23
Pir,-1.07297096190696,0.294413374549206,0,0,23
DPA,1.92832008621143,0.0662491598591457,0,0,23
TT,1.13392465598247,0.268507224047809,0,0,23
Sept,0.919249797201316,0.367505708693243,0,0,23
Nacc,1.10132415523128,0.28214807900101,0,0,23
CP,0.884386404495515,0.385639659246671,0,0,23
Pall,0.0171195150261427,0.986488913474166,0,0,23
VP,0.833381295231061,0.41320097536407,0,0,23
Cl,2.55283574905755,0.0177863275058667,1,0,23
Amyg,-0.642439755261058,0.526940325036008,0,0,23
ZI,1.76902005127563,0.0901513987533065,0,0,23
I_dors,0.946847031285076,0.353559238249551,0,0,23
I_ventr,1.48451980550811,0.151248083617436,0,0,23
I_post,0.159119860453568,0.8749634462045,0,0,23
Gust,3.06587128262213,0.00547206774189046,1,0,23
Visc,0.830136654580322,0.414995460200497,0,0,23
Perih,1.36716733034004,0.184787191267574,0,0,23
Ect,1.82333268093179,0.0812772048621997,0,0,23
Ent,-1.50434724344055,0.146101307733639,0,0,23
Temp,1.96066822071941,0.062138449503226,0,0,23
ParAss,-0.667440434506367,0.511132664952542,0,0,23
RS,0.92871338727949,0.362682538528649,0,0,23
CA,0.756853522225278,0.456821297205988,0,0,23
DG,0.187252731627767,0.853104519176515,0,0,23
Sub,1.49384306563928,0.14880989660062,0,0,23
SC,-0.445739472098871,0.659953090062871,0,0,23
PAG,0.487486320179344,0.630528021154104,0,0,23
VTA,1.51427376212132,0.143578768333979,0,0,23
SN,1.09160374070045,0.286310777658314,0,0,23
NclR,0.861116035723083,0.398062693001811,0,0,23
RN,0.36021739374757,0.721971453570287,0,0,23
MB,0.2405222217027,0.812056411393266,0,0,23
Pons,-0.366616398771765,0.717256337446077,0,0,23
Periv,-0.31804491412959,0.753320621353465,0,0,23
Hyp,1.49103100888862,0.149541904671374,0,0,23
Aud,1.29547384323594,0.208008789813378,0,0,23
V,1.20962266522128,0.238710566060633,0,0,23
IC,1.89639205662561,0.0705387302064601,0,0,23
