FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
9.10137451087666,14.3350290185801,10.361642206923,13.4243133344019,12.0030552995294,13.7410105133137,14.0705308088668,14.4254642221495,8.01949988919156,16.7586125516338,10.5439751765325,13.0757585585386,12.9427210552032,8.36920435168417,10.6420243000484,14.2066346415735,15.1514997760413,13.8269437875702,12.4461317353797,18.5043015212822,16.8314841206396,7.90524243626726,8.92204519285064,7.04930495407842,6.18311812576085,14.6386694535648,8.24456634363266,9.86045224817821,15.8269151511253,11.2662429382734,3.68923766890535,7.27139934853671,6.55193692357646,9.61414874119698,9.83983101811855,12.707603382412,13.9857836364225,11.0489049115324,13.0351266160153,18.2023379531967,15.4823691653621,10.8453869919129,6.1394842769387,15.383294929948,5.47169386793384,13.0866572355507,3.89730345778188,6.94133411137756,9.20973705332021,15.6078276804311,9.44535046155245,10.5999202973339
10.7931018931018,19.8143224818665,18.2186816291788,17.9634601923494,17.6053860232197,18.5454189785289,19.0666606892049,14.8385976973118,16.021275567168,17.861915013797,10.0131963633965,7.48611865407307,10.0147787455886,8.94843067964896,17.9287003751123,13.8114442831899,13.6267267350647,16.9397881547049,15.1726564644686,15.4459425190042,13.1536982058036,10.407678384996,13.3517305631489,11.6125159027898,8.57272432392002,20.2608547548512,18.5454731662658,13.3849706680912,12.978753373634,13.3516459264493,9.23095331503776,10.3491248786339,4.10284681428789,7.9079588675672,9.83125199892422,13.6573399616331,14.64367796311,10.1306177851237,5.48787959428062,14.6355522181987,4.58080532817242,2.11444474274218,4.59789475631309,1.05942636544724,3.82902990844434,9.67455113710298,2.09739336454252,2.24629643717297,10.3480381505389,17.1762862032643,15.0996489223103,13.5464062861319
6.19818371855523,16.3087809374679,14.7426585645294,11.4567765268516,10.0656018174265,13.4675131321348,14.9451746269267,15.8103969626586,12.8085228349201,17.1271033094945,13.8041328328847,6.04568173238449,5.15202665688038,9.34286914419948,21.3918159791065,13.1533754226422,8.93283111342913,10.9705487207343,14.4417531238855,15.1000460797773,15.1766543653942,14.8232823584545,17.6563103024,16.7186807777991,7.66506870067577,8.62754340806106,9.83177602847331,13.843440895917,11.4865329065497,11.5887871531264,7.16226664422385,8.89740953248957,6.35719497189303,11.6208434315024,11.2677725269456,8.82865710692902,8.46562025544004,7.24177902849094,6.39255204314513,10.7918120531402,15.9368158137543,11.3564435123669,13.800771350548,7.29679607939553,8.58606833308209,13.0200970897951,8.06087179844396,1.13787775438598,14.4790310132431,16.9497302637353,10.979831953671,8.85634471947749
6.2683171066358,6.94607383544568,7.5927910839283,6.5311662842991,9.19967715748108,10.0924046797526,10.5995868482183,10.2170601106626,7.07572674362326,11.7114003051238,10.3580647490455,6.22419284738299,4.66781284433366,8.20922114494667,12.2291985072804,6.00201544468929,5.78820535466606,8.68028056722748,9.36580209385834,11.1438362811232,11.5992294458971,10.0474342487216,9.59273415252752,11.0016059925296,8.8764204420839,9.542110238644,9.79880525543335,8.87717640806917,9.09588086402406,7.97656504959914,8.05911724701189,9.33377708426935,9.50670883317923,10.4877805830552,8.03182662549704,11.6030498340409,10.6387318478778,10.3717941143553,9.6264457515454,10.7200699378936,9.86014771636491,10.2847757202701,10.0095776041858,9.58637423576294,10.1170882999228,11.3164917807874,8.47118174686569,7.73999335012156,11.8343975168835,10.1628949793076,8.21012510189943,5.57282036761991
6.92938804970957,18.184820660383,17.6324956919358,17.4393724201076,20.5429348704085,14.7756784500779,16.200871624019,12.2832184038848,14.6279608143839,12.1674937695054,9.59006755416432,11.00713357357,12.9627824090788,5.62963134498957,11.293780002993,8.99982621583666,17.9166766286553,18.4381079289394,4.47779649751396,13.1481739279409,17.743423898644,10.8044208023384,9.75473985636879,10.0389759260215,19.4125705307964,8.46393840188456,9.08996734633152,9.92154605008585,10.214823744213,10.2062462604978,5.91505626144656,7.30885288803264,10.2659907456656,6.59274231626121,10.4129060652278,12.9697398265456,18.9847015423602,20.4530754917139,17.250125280283,18.9659165921929,20.1641456250684,16.0281658558561,9.01194141432279,13.3291115680547,14.4735154683497,18.7612635815264,14.9784812154349,6.07942921238118,12.9358647667237,10.8454328446015,3.24951761937639,11.3455929984925
5.91143476111496,9.36453763193888,6.98325983316813,6.70773346113495,7.34016797604797,11.1637316481532,10.5150833605895,9.53642344684391,7.79175539335365,9.6159888879217,5.75332665762705,5.8039841299634,2.91481537963738,10.0438832656695,13.6077291538793,10.2039612779874,9.26143258400024,9.26987417315227,9.71513738601678,9.955717617561,9.99208142915949,9.17711397787012,8.99656288985502,10.2041492947987,7.52302976650463,11.8689314493962,11.9264321226149,11.3178464169306,8.33979530272234,10.2849194846968,8.92021973384799,6.17278210952658,8.8141598813401,5.22132851150941,8.45993815545246,10.277343722203,9.24220123172345,10.1118055512598,9.46306844866194,10.0453376398843,9.88013317789677,8.99015336141629,7.59292215343986,5.26696902141996,9.92589740131725,10.2570615396384,6.85425132310144,5.64970693865426,13.4619162893262,7.72296467460073,4.74965893629446,8.1941102781411
8.20552002183988,16.8589033706573,9.39561441545941,14.4902024061869,16.6811733177005,13.1072403828442,11.1746125826363,17.1539829348247,8.83905263796659,16.4935084088183,12.4899104742764,10.3441121574146,10.5103401189629,12.0332053351602,17.848478295486,13.7937117307435,15.3420395588071,16.7125335383961,14.6187668115726,18.9796450029145,14.4069855830337,16.4316432244596,15.6108712943742,11.041780303129,12.8174332491527,15.6741590875749,14.628380446586,17.5410753005922,14.0674032844334,15.0634122300774,11.2039562507513,12.1177980248391,7.73377712163057,9.73915526540598,4.55339338524148,14.4006573700703,5.72414569016277,3.80380357475177,4.71589724541135,9.57936111410639,4.94403860999692,6.98398311300827,3.42480130517345,3.34144232273382,2.99994727030087,8.89223160209577,3.30969895561012,11.576232575681,11.3360115340017,8.14135800610518,2.42956234188826,4.79403160872314
22.6305295451645,24.5573997767252,22.6172187646628,24.3974303154511,22.8623482753195,18.9328399264735,23.2300369372367,24.4083322048117,20.0711685401653,18.1543339529867,13.3539924643688,12.5802725153907,7.6900083831475,0.859589118533306,14.29366295802,16.9389213149246,15.3031952104192,20.1356615278989,12.7788675973667,19.5000207520272,19.2588816930454,14.6638268449827,17.2262121464097,13.3201862065298,13.4367891620518,18.5734750025766,15.4213724933188,13.5011409228648,12.6596042824836,15.8265451759175,15.3187560604563,17.909508765086,8.56596699736738,20.8439344230643,19.4176304054827,22.5237964512809,6.96031554672996,2.79403327442789,2.89118404039901,12.1516254730727,17.4126947388938,2.56747432892522,2.13637133549219,2.69714043611785,2.71599719072784,10.5151317361141,2.23122974714558,2.54572057825039,12.385404874312,18.7311061935476,11.0343273756619,2.14400306227059
4.89950299696693,18.01681307338,13.5540083678027,18.1806066916252,12.5051803217875,18.9152476334685,17.9653251973789,14.7192030922473,14.5968973760845,15.9352841342136,11.6166716739667,11.6910144179168,13.947598363085,9.13380173930462,14.6536911579796,17.5774697948347,15.3609542789269,14.0257869127457,12.6586015916746,13.0871857926613,9.80557298302448,7.48377098435926,10.8342799996506,12.8743847944484,16.5821005402066,12.88613111875,10.4612574750662,8.61286942031479,9.68786049880016,10.2311079760068,12.2704358803863,16.4824454997355,9.39541413441306,17.1163639024747,12.0796141995875,10.4958390817238,16.8064851835513,14.9390499103261,9.21651294477911,6.46688180022798,6.53527001214998,15.495072703797,11.6998208471756,8.41244476310135,11.2874077553066,16.2719958960007,9.75635041391427,5.02158025879178,11.1531038572514,20.2329370073912,5.04106083785862,3.21640347032165
4.76313295210624,17.6594945995294,16.5802852475318,16.5620734729968,19.0123944834791,19.3061538008461,18.6418125832795,13.9175218450232,15.6610363571771,20.470574390121,14.5629946675104,15.4385503158963,11.1707893770573,11.260626261055,10.7462049542401,13.0434170015848,14.8425446821641,14.2254660635792,14.3444582303902,18.4687616658839,16.4759367648438,10.7753745842891,9.01856806570441,9.33990690084506,13.0052821557849,9.71518837145489,17.3104422287695,6.98289331741658,6.00761037771612,6.02450455242831,9.43399408052666,10.1970741212612,7.37882863858686,8.27350157636356,4.04721404992352,9.60888983663102,10.5095726200218,14.493393806052,8.05721121112573,13.7383323396791,11.9775032171593,7.65596400049904,4.66877665291055,9.62974128159625,9.16254884057607,16.6580089507518,6.87062551259724,9.59644446728917,10.2450162070493,13.2824635944826,0.705489171167917,4.78969076071756
