edge_from,edge_to,count_10,count_15,count_20,count_25,count_30,count_35,count_40,count_45,count_50
0,0.01,58416,55200,51936,48672,45456,42192,38976,35712,32496
0.01,0.02,0,0,0,0,0,0,0,0,0
0.02,0.03,0,0,0,0,0,0,0,0,0
0.03,0.04,0,0,0,0,0,0,0,0,24
0.04,0.05,0,0,0,0,0,0,0,0,52
0.05,0.06,0,0,0,0,0,0,0,0,28
0.06,0.07,0,0,0,0,0,0,0,24,54
0.07,0.08,0,0,0,0,0,0,0,38,38
0.08,0.09,0,0,0,0,0,0,0,46,46
0.09,0.1,0,0,0,0,0,0,2,30,30
0.1,0.11,0,0,0,0,0,0,36,36,58
0.11,0.12,0,0,0,0,0,0,54,54,100
0.12,0.13,0,0,0,0,0,0,30,30,248
0.13,0.14,0,0,0,0,0,26,38,38,240
0.14,0.15,0,0,0,0,0,28,28,74,320
0.15,0.16,0,0,0,0,0,28,28,132,300
0.16,0.17,0,0,0,0,0,36,36,266,452
0.17,0.18,0,0,0,0,4,22,22,270,500
0.18,0.19,0,0,0,0,14,14,82,216,560
0.19,0.2,0,0,0,0,30,30,140,342,626
0.2,0.21,0,0,0,0,22,22,202,396,636
0.21,0.22,0,0,0,0,28,46,316,586,756
0.22,0.23,0,0,0,0,14,76,258,580,640
0.23,0.24,0,0,0,0,18,144,308,642,676
0.24,0.25,2,2,2,28,32,134,334,552,586
0.25,0.26,0,0,0,20,42,268,590,676,720
0.26,0.27,0,0,0,18,94,302,610,676,694
0.27,0.28,0,0,0,28,100,336,642,694,694
0.28,0.29,0,0,0,16,140,510,642,678,694
0.29,0.3,0,0,2,44,210,488,568,602,634
0.3,0.31,4,4,28,88,280,500,592,600,646
0.31,0.32,0,0,16,90,320,520,594,594,668
0.32,0.33,4,4,22,112,372,522,558,572,636
0.33,0.34,2,2,24,170,458,566,588,642,678
0.34,0.35,2,2,28,218,444,576,576,648,648
0.35,0.36,4,4,84,256,478,562,562,648,688
0.36,0.37,0,2,72,314,514,544,574,620,670
0.37,0.38,2,20,80,418,556,586,652,656,700
0.38,0.39,0,10,152,392,540,544,616,672,672
0.39,0.4,4,12,158,390,482,488,542,596,596
0.4,0.41,6,34,296,454,506,536,610,632,646
0.41,0.42,6,38,258,458,496,564,632,632,674
0.42,0.43,6,64,330,484,484,556,594,594,652
0.43,0.44,10,88,348,480,502,606,606,638,658
0.44,0.45,6,150,384,476,508,582,582,632,632
0.45,0.46,12,140,350,394,452,506,506,552,552
0.46,0.47,12,238,448,454,592,592,628,636,636
0.47,0.48,20,236,400,440,520,520,574,574,574
0.48,0.49,42,258,370,426,492,506,550,550,550
0.49,0.5,62,298,368,452,458,500,500,500,500
0.5,0.51,82,288,356,464,464,494,494,494,494
0.51,0.52,64,284,358,416,416,464,464,464,464
0.52,0.53,116,318,380,410,472,474,474,474,474
0.53,0.54,104,302,364,384,426,426,426,426,426
0.54,0.55,142,292,364,384,414,414,414,414,414
0.55,0.56,200,328,402,444,444,444,444,444,444
0.56,0.57,230,326,372,422,422,422,422,422,422
0.57,0.58,246,340,374,406,406,406,406,406,406
0.58,0.59,202,288,348,352,352,352,352,352,352
0.59,0.6,232,328,362,362,362,362,362,362,362
0.6,0.61,272,316,344,344,344,344,344,344,344
0.61,0.62,234,280,310,310,310,310,310,310,310
0.62,0.63,278,340,346,346,346,346,346,346,346
0.63,0.64,240,316,316,316,316,316,316,316,316
0.64,0.65,268,304,304,304,304,304,304,304,304
0.65,0.66,244,300,300,300,300,300,300,300,300
0.66,0.67,230,250,250,250,250,250,250,250,250
0.67,0.68,232,232,232,232,232,232,232,232,232
0.68,0.69,234,234,234,234,234,234,234,234,234
0.69,0.7,208,208,208,208,208,208,208,208,208
0.7,0.71,154,154,154,154,154,154,154,154,154
0.71,0.72,174,174,174,174,174,174,174,174,174
0.72,0.73,194,194,194,194,194,194,194,194,194
0.73,0.74,174,174,174,174,174,174,174,174,174
0.74,0.75,164,164,164,164,164,164,164,164,164
0.75,0.76,130,130,130,130,130,130,130,130,130
0.76,0.77,164,164,164,164,164,164,164,164,164
0.77,0.78,104,104,104,104,104,104,104,104,104
0.78,0.79,108,108,108,108,108,108,108,108,108
0.79,0.8,114,114,114,114,114,114,114,114,114
0.8,0.81,92,92,92,92,92,92,92,92,92
0.81,0.82,94,94,94,94,94,94,94,94,94
0.82,0.83,64,64,64,64,64,64,64,64,64
0.83,0.84,86,86,86,86,86,86,86,86,86
0.84,0.85,66,66,66,66,66,66,66,66,66
0.85,0.86,60,60,60,60,60,60,60,60,60
0.86,0.87,44,44,44,44,44,44,44,44,44
0.87,0.88,50,50,50,50,50,50,50,50,50
0.88,0.89,42,42,42,42,42,42,42,42,42
0.89,0.9,44,44,44,44,44,44,44,44,44
0.9,0.91,20,20,20,20,20,20,20,20,20
0.91,0.92,36,36,36,36,36,36,36,36,36
0.92,0.93,12,12,12,12,12,12,12,12,12
0.93,0.94,14,14,14,14,14,14,14,14,14
0.94,0.95,6,6,6,6,6,6,6,6,6
0.95,0.96,4,4,4,4,4,4,4,4,4
0.96,0.97,2,2,2,2,2,2,2,2,2
