"block","animal_ID","lid"
"1","1",29273.5095870597
"1","2",32570.5194702164
"1","3",28085.4644922472
"1","4",27079.4551085753
"1","5",24474.5604878484
"1","6",25264.3540835544
"1","7",38990.6013673606
"1","8",30409.279972628
"1","9",40640.6103616522
"2","1",26241.9466621593
"2","2",29401.5822931075
"2","3",22914.6620931741
"2","4",20427.5423864959
"2","5",19939.365798949
"2","6",22304.1883575695
"2","7",24972.8879572401
"2","8",22999.3049430737
"2","9",30726.9592949571
"3","1",27734.5127358534
"3","2",28694.5083143809
"3","3",32616.4948363886
"3","4",26467.0550714662
"3","5",21289.1014005316
"3","6",20188.4091365648
"3","7",32024.7182659708
"3","8",25822.1262320672
"3","9",32627.3585733861
"4","1",32978.7938633578
"4","2",31569.8504553528
"4","3",30133.7661043188
"4","4",27570.6779905261
"4","5",22699.721984882
"4","6",27344.5330783144
"4","7",37187.2448571744
"4","8",32924.0867093617
"4","9",36965.1604727464
