"block","animal_ID","lid"
"1","1",0.917973784285498
"1","1",1.10261045289097
"1","1",1.13314114542578
"1","1",1.18743604699787
"1","1",1.06522122882198
"1","1",1.0464568322628
"1","1",1.01852115495433
"1","1",0.973000826079468
"1","1",0.968759599443956
"1","1",1.00574998987585
"1","1",1.04838897589935
"1","1",1.06162404405636
"1","1",1.09193679741919
"1","1",1.09540708811898
"1","1",1.03073052023389
"1","1",0.995805724093725
"1","1",1.05196858046698
"1","1",1.20503628933806
"1","1",1.0143793666026
"1","1",1.05967648724537
"1","1",1.10100459132696
"1","1",1.01556725282165
"1","1",0.997038034686595
"1","1",0.940177067715226
"1","1",1.00253095384538
"1","1",1.04976857706522
"1","1",1.03616961198663
"1","1",1.04905498435878
"3","1",1.01952340611636
"3","1",1.02291799208205
"3","1",0.996962721690824
"3","1",0.991534373803495
"3","1",1.24155330951074
"3","1",1.24564033827406
"3","1",1.11799581405332
"3","1",0.936226487337819
"3","1",1.0925073585857
"3","1",1.11296244675722
"3","1",0.989771981603521
"3","1",1.47070191484937
"3","1",1.0043143092679
"3","1",1.13234257285174
"3","1",1.03033363796314
"3","1",1.00682754015997
"3","1",1.18006976136786
"3","1",1.05445989331836
"3","1",1.00309668402962
"3","1",1.15922110966597
"3","1",1.05140864040309
"3","1",1.07490331207232
"3","1",1.03665097996182
"3","1",1.02589306794719
"3","1",1.01458578266443
"3","1",1.08927113272341
"3","1",1.17130710698657
"3","1",1.03407275252864
"3","1",1.0040652893318
"3","1",1.00334323925168
"3","1",1.00446485432177
"3","1",1.01886100551603
"3","1",1.04690872142642
"3","1",1.00823633091054
"3","1",1.07957736847911
"3","1",1.12794535462749
"3","1",0.985383808474039
"1","2",0.997366004758387
"1","2",1.01655871087279
"1","2",1.04666803419282
"1","2",1.09370910799779
"1","2",1.01190876578228
"1","2",1.03780632420802
"1","2",1.04617024128349
"1","2",1.02539610396506
"1","2",1.11279238522771
"1","2",1.01611350664991
"1","2",1.00919921002775
"1","2",1.01821727432938
"1","2",1.03433131421806
"1","2",1.0167607907224
"1","2",0.996114651701873
