"Term","Estimate","Std. Error","t value"
"(Intercept)",30754.2616590159,1582.5450353703,19.4334195688906
"block2",-6317.76834937957,1125.73457249814,-5.61212962959794
"block3",-3258.23004050364,1125.73457249814,-2.89431462806836
"block4",287.275620543564,1125.73457249814,0.255189480328445
