Statistic,Estimate,P,FDR_Q_across_DeltaC_DeltaL_SWP,FDR_Significant
Pearson_Rank_vs_PRE,-0.0393134105094088,0.855281243064431,0.988194410123984,0
Pearson_Rank_vs_TEST,0.0114336772790217,0.957712244143025,0.957712244143025,0
Pearson_Rank_vs_delta,0.0443662368569222,0.836910190208114,0.836910190208114,0
Spearman_Rank_vs_delta,0.0947607288303101,0.659617052828935,NaN,0
Paired_PRE_vs_TEST_ttest,-1.5587601038353,0.132708078646058,NaN,0
Paired_PRE_vs_TEST_permutation,NaN,1,NaN,0
